TimeElapsed (s),MessageSentCount,MessageSentThroughput (KB/s),MessageReceivedCount,PublishLatencyMinValue (ms),PublishLatencyValueAtPercentile50 (ms),PublishLatencyValueAtPercentile75 (ms),PublishLatencyValueAtPercentile95 (ms),PublishLatencyValueAtPercentile99 (ms),EndToEndLatencyMinValue (ms),EndToEndLatencyValueAtPercentile50 (ms),EndToEndLatencyValueAtPercentile75 (ms),EndToEndLatencyValueAtPercentile95 (ms),EndToEndLatencyValueAtPercentile99 (ms)
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3309,3309,2859,3,187,244,303,315,12,873,946,1013,1014
3,8879,8879,10930,5,184,270,328,384,53,620,871,1081,1200
4,9106,9106,9887,263,562,703,898,1021,210,1112,1363,1586,1720
5,10356,10356,10059,804,1271,1425,1604,1670,1039,1537,1820,2004,2035
6,11616,11616,11023,1528,1953,2109,2273,2333,2041,2547,2781,2985,3025
7,11030,11030,11096,2226,2667,2809,3039,3185,2462,3243,3503,3921,4031
8,10434,10434,10354,2816,3377,3533,3717,3811,3046,3723,3951,4327,4427
9,10819,10819,11145,3354,3927,4077,4411,4591,3414,4447,4731,4971,5023
10,11382,11382,11251,3488,4571,4839,5191,5359,3758,5027,5443,5843,6019
11,11068,11068,10731,3790,4551,5315,5903,6039,3686,5015,5771,6759,6951
12,10950,10950,10984,3920,4607,5531,6331,6511,4042,5231,5959,6755,6951
13,11190,11190,11223,4016,4675,5619,6655,6691,4074,5287,6391,7235,7479
14,11239,11239,11338,3950,4599,5483,6631,6775,3884,5123,5999,6995,7379
15,11217,11217,10848,3894,4875,5719,6531,6587,3808,5323,6187,7147,7319
16,11223,11223,10911,3852,5007,5467,6403,6575,3740,5259,6123,7043,7271
17,10712,10712,11558,3790,5191,5539,6367,6523,3990,5351,5979,6847,7067
18,11494,11494,10895,3850,5303,5523,6531,6679,4038,5703,6251,7183,7463
19,10824,10824,11216,4006,5267,5463,6435,6587,3990,5471,6099,6827,7063
20,10843,10843,11024,4002,5215,5499,6423,6599,3932,5367,6039,7007,7167
21,11304,11304,10939,4062,5283,5467,6291,6431,4104,5451,6043,6843,7031
22,11067,11067,10886,3898,5251,5487,6603,6655,3812,5407,6179,7143,7331
23,10635,10635,11146,3896,5307,5555,6435,6607,3934,5551,6207,7223,7443
24,11339,11339,10916,3964,5415,5723,6255,6263,4080,5671,6223,6815,7091
25,11391,11391,11089,3868,5451,5651,6119,6275,3964,5747,6243,6759,6947
26,10895,10895,11478,3912,5347,5679,6203,6303,4050,5739,6223,6751,7007
27,11489,11489,11299,4018,5391,5703,6239,6407,4228,5543,6091,6671,6939
28,11491,11491,11121,3966,5287,5467,6239,6251,4018,5387,5975,6759,6959
29,10354,10354,10937,4046,5267,5467,6235,6279,4038,5483,6135,6735,6971
30,11058,11058,11447,4096,5083,5287,6451,6543,4144,5427,6063,6823,7031
31,11553,11553,10835,4136,4947,5163,6623,6643,4264,5267,5815,7131,7359
32,11161,11161,11172,4116,4991,5299,6643,6803,4228,5371,6011,7131,7363
33,11238,11238,11338,4056,5119,5291,6651,6767,4100,5271,5975,7007,7215
34,10870,10870,10994,4032,5211,5551,6631,6799,4140,5315,5959,7211,7451
35,11045,11045,11280,4016,5203,5483,6619,6775,4104,5335,5959,7047,7267
36,11572,11572,11238,4020,5311,5599,6579,6719,4184,5671,6407,7191,7399
37,10494,10494,10678,4028,5315,5543,6559,6835,4160,5451,6127,7267,7383
38,11612,11612,11569,4220,5375,5559,6551,6591,4032,5527,6087,7067,7271
39,11326,11326,11393,4136,5235,5499,6611,6619,4038,5363,6035,7095,7339
40,10869,10869,10693,4082,5011,5511,6635,6831,4248,5235,5779,7171,7367
41,10659,10659,10830,4136,4967,5415,6771,6851,4084,5343,5851,7315,7515
42,11514,11514,11344,4196,4883,5547,6919,7075,4244,5231,6111,7535,7727
43,11375,11375,11498,4160,4867,5371,6731,6879,4496,5407,6047,7383,7543
44,10593,10593,11111,4168,5259,5655,6563,6743,4220,5407,6291,7135,7347
45,11251,11251,10647,4380,5307,5723,6519,6547,4472,5559,6263,6963,7131
46,11053,11053,10899,4196,5279,5619,6335,6507,4428,5635,6235,6867,7075
47,11096,11096,11569,4240,5423,5595,6299,6467,4276,5619,6267,7047,7275
48,11119,11119,10896,4404,5531,5803,6215,6383,4372,5815,6255,6755,7143
49,11066,11066,10917,4268,5463,5915,6103,6263,4276,5775,6183,6635,6835
50,11002,11002,11048,4344,5455,5779,6023,6123,4476,5719,6075,6499,6687
51,11551,11551,11655,4372,5467,5731,6103,6135,4276,5747,6179,6559,6719
52,11323,11323,11066,4440,5391,5731,5947,6115,4548,5607,6007,6459,6719
53,11214,11214,11696,4280,5383,5743,5919,6111,4404,5675,6111,6455,6583
54,11462,11462,10892,4124,5439,5675,6063,6083,4172,5711,6227,6643,6891
55,10363,10363,10627,4264,5307,5631,6067,6083,4164,5655,6207,6719,6943
56,9283,9283,8805,4228,5347,5607,6299,6463,4128,5615,6247,7007,7039
57,9944,9944,9731,4480,5487,5767,6759,6951,4796,5719,6123,7439,7651
58,9967,9967,10147,4492,5591,5791,7071,7255,4956,5923,6443,7655,7863
59,10906,10906,11290,4704,5731,6003,7179,7303,4692,6015,6687,7811,8003
60,11312,11312,11157,4720,5699,5979,7115,7251,4696,5979,6659,7807,7995
61,10945,10945,11534,4536,5699,5843,7255,7283,4768,5851,6471,7715,7907
62,11512,11512,11080,4284,5371,5715,7267,7299,4560,5555,6155,7979,8147
63,10631,10631,10947,4452,5251,5603,7275,7387,4444,5655,6423,7551,8067
64,11336,11336,10700,4416,5231,5607,6819,7055,4556,5563,6319,7291,7487
65,8664,8664,9312,4552,5283,5579,6703,6979,4368,5491,6091,7359,7591
66,11200,11200,10937,4496,5319,5767,6859,6887,4648,5783,6471,7395,7671
67,11096,11096,10835,4548,5419,5775,6983,7019,4620,5791,6375,7515,7783
68,10663,10663,10918,4492,5399,5715,7007,7031,4372,5767,6327,7543,7723
69,11187,11187,11218,4500,5491,5779,6963,7111,4668,5711,6279,7591,7775
70,10849,10849,11135,4356,5467,5783,6951,7115,4232,5579,6227,7499,7703
71,10858,10858,11131,4520,5143,5635,7147,7191,4716,5651,6211,7799,8015
72,11343,11343,10811,4548,5087,5611,7187,7203,4648,5523,6235,7731,7947
73,11171,11171,10780,4524,5163,5651,6999,7227,4608,5571,6191,7703,7883
74,10322,10322,11184,4504,5211,5635,7075,7111,4668,5607,6091,7619,7807
75,10807,10807,10485,4532,5255,5603,6987,7015,4496,5547,6043,7539,7795
76,10123,10123,10340,4600,5383,5687,6915,7043,4692,5615,6391,7659,7747
77,11820,11820,11227,4556,5491,6375,6943,6947,4424,5875,6511,7271,7443
78,10879,10879,11179,4720,5491,5847,6695,6707,4756,5795,6327,7163,7407
79,11082,11082,11034,4528,5495,5851,6519,6659,4472,5831,6411,7247,7427
80,10724,10724,10719,4560,5535,5755,6479,6671,4548,5843,6311,6791,6959
81,11085,11085,10899,4496,5507,5931,6639,6671,4572,5771,6435,7247,7459
82,10331,10331,10761,4536,5479,5723,6643,6663,4616,5747,6339,7023,7251
83,11470,11470,11087,4528,5455,5683,6747,6803,4560,5679,6275,7303,7531
84,10997,10997,11269,4604,5387,5647,6915,6939,4500,5727,6251,7583,7815
