TimeElapsed (s),MessageSentCount,MessageSentThroughput (KB/s),MessageReceivedCount,PublishLatencyMinValue (ms),PublishLatencyValueAtPercentile50 (ms),PublishLatencyValueAtPercentile75 (ms),PublishLatencyValueAtPercentile95 (ms),PublishLatencyValueAtPercentile99 (ms),EndToEndLatencyMinValue (ms),EndToEndLatencyValueAtPercentile50 (ms),EndToEndLatencyValueAtPercentile75 (ms),EndToEndLatencyValueAtPercentile95 (ms),EndToEndLatencyValueAtPercentile99 (ms)
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7436,7436,8266,100,392,480,627,649,429,807,983,1124,1155
3,9651,9651,10179,585,1039,1244,1441,1451,1168,1695,1933,2127,2157
4,10709,10709,10678,1374,1879,2125,2297,2383,2166,2681,2927,3109,3151
5,10049,10049,9455,2258,2771,3045,3257,3277,3166,3647,3879,4107,4159
6,8794,8794,8949,3110,3429,3863,4215,4255,3166,4223,4727,5079,5147
7,8808,8808,8913,3066,4363,4855,5167,5227,3116,5283,5759,6103,6139
8,9054,9054,8892,3006,5343,5759,6163,6243,3084,5647,6471,7091,7147
9,8497,8497,8245,3108,6215,6619,7023,7211,3166,6327,7107,7795,8147
10,8730,8730,8506,3114,6771,7603,8023,8123,3310,7027,7595,8139,8175
11,8501,8501,9091,3176,7195,8559,8935,8959,3216,7719,8559,9103,9135
12,9410,9410,9307,3308,7663,9495,9951,10007,3412,8263,9655,10015,10159
13,9070,9070,9405,3358,7587,10207,10871,10903,3352,7919,10415,11087,11143
14,8862,8862,8791,3352,7551,10767,11223,11519,3474,7863,11191,12031,12079
15,8989,8989,8929,3292,7251,11151,11703,11839,3478,7535,11575,11999,12063
16,8042,8042,8512,3160,7235,11567,12079,12127,3358,7851,11695,12295,12367
17,9633,9633,9064,3376,10783,12031,12583,12903,3584,10135,12287,12943,12975
18,8896,8896,9078,3468,7167,11575,12583,12871,3572,7615,11783,12735,13247
19,9245,9245,9026,3526,7203,11231,12255,12447,3654,7563,11679,12623,12903
20,9490,9490,9275,3238,7387,11479,12719,12743,3596,7783,11959,12639,12911
21,8630,8630,8975,3254,7379,11639,12223,12279,3312,8327,12215,12831,13039
22,8922,8922,8761,3246,7315,11127,12111,12551,3474,7831,11311,12967,13015
23,8718,8718,8977,3270,7611,11215,12399,12735,3374,7815,11287,11991,13263
24,8019,8019,8387,3230,7659,11599,12143,12479,3340,8135,11551,12615,12927
25,8973,8973,8760,3320,7747,11487,12567,12591,3422,10791,11607,13215,13335
26,8693,8693,8579,3540,7787,11463,12663,12727,3562,8647,11727,12415,12487
27,8823,8823,8709,3626,7775,11359,12367,12655,3806,8151,11671,12415,12695
28,9341,9341,9465,3706,7915,11359,12503,12783,3852,8439,11887,12527,12799
29,8478,8478,8516,3450,7971,11535,12255,12559,3576,8567,12047,12775,13103
30,8760,8760,8108,3338,8055,11463,12623,12951,3622,8091,11167,12879,12943
31,7995,7995,8535,3174,7927,12183,12847,12871,3414,8431,12279,13023,13223
32,9617,9617,9190,3184,8391,12047,12975,13255,3364,9039,12399,13279,13607
33,8577,8577,9448,3242,8159,11967,12831,12927,3352,8855,11991,13239,13479
34,10024,10024,9522,3362,8171,11895,12519,12799,3378,8799,12327,13103,13159
35,8973,8973,8846,3350,8027,11751,12719,12751,3522,8591,11759,13151,13423
36,8579,8579,8545,3340,8019,11783,12503,12839,3388,8263,11775,12823,13159
37,8561,8561,8495,3214,8319,11951,12863,12919,3288,8351,12151,13207,13535
38,8746,8746,8513,3178,8311,12071,12751,13023,3226,8655,12111,13583,13919
39,8659,8659,8829,3178,7979,12095,12823,13095,3186,8335,12255,13159,13183
40,8517,8517,8831,3164,7951,12279,12871,13143,3304,8423,12527,13159,13519
41,8820,8820,8752,3236,8239,12335,12991,13143,3390,8335,12487,13191,13447
42,8628,8628,8496,3192,8183,11967,13335,13383,3264,8623,11783,13511,13775
43,8384,8384,8228,3286,8663,12287,12967,13303,3426,8719,12495,13551,13879
44,8246,8246,8230,3280,8487,12271,13319,13351,3368,9063,12535,13631,13975
45,8105,8105,8233,3288,8743,12583,13311,13327,3526,9383,13215,13943,14047
46,8217,8217,8483,3308,8847,12647,13319,13695,3410,8607,13335,14063,14119
47,8685,8685,8613,3200,8535,12503,13599,13943,3348,8863,13343,14079,14319
48,8592,8592,8446,3284,8591,13215,13879,14199,3452,8943,13719,14783,15151
49,8604,8604,8567,3164,8911,13047,14199,14415,3336,9279,13135,14439,14791
50,8031,8031,8043,3124,8743,12407,13807,14103,3374,8703,13167,13991,14247
51,9031,9031,8682,3276,9399,13063,14143,14407,3316,9703,13247,14287,14591
52,8440,8440,8738,3216,9463,13423,14399,14415,3204,9751,13599,14615,14967
53,7285,7285,7423,3212,9391,13695,14495,14527,3298,9863,14071,15087,15143
54,8498,8498,8711,3368,9503,13559,14231,14815,3418,9895,14375,15095,15423
55,8476,8476,8310,3398,9439,13591,14543,14567,3394,9959,13807,15079,15479
56,8752,8752,8768,3454,9359,13551,14583,14863,3522,9863,13391,14455,15359
57,8487,8487,8348,3370,9055,13183,14543,14583,3468,9599,13351,14479,14831
58,7786,7786,7794,3262,9359,12879,14287,14335,3548,4539,13415,14887,14983
59,7871,7871,7947,3222,9455,13663,14607,14687,3424,9895,13695,14999,15311
60,8372,8372,8392,3276,9751,13023,14783,15111,3404,9967,13391,14519,15383
61,8688,8688,8298,3250,9631,13807,14759,14783,3354,10007,13399,14767,14887
62,8382,8382,8392,3252,9583,13439,14511,14543,3332,10047,13911,14927,15007
63,8152,8152,8727,3154,9535,13783,14503,14855,3396,10143,14239,14975,15279
64,9077,9077,8659,3138,9639,13439,14831,15159,3364,10455,13959,15351,15655
65,8638,8638,8775,3172,9543,13671,14655,14983,3292,10383,13951,15231,15543
66,8423,8423,8355,3160,9551,13975,14735,15055,3376,10471,13951,15239,15599
67,8631,8631,8783,3216,9607,13719,14463,14799,3160,10175,14015,14999,15103
68,8829,8829,8758,3130,9431,13327,14279,14743,3166,9895,13647,15023,15407
69,7632,7632,7881,3142,9415,13191,14703,15087,3258,9671,13583,14839,15439
70,8435,8435,8281,3176,9431,13895,14863,15175,3224,9775,13991,15247,15567
71,9272,9272,9361,3260,9591,14207,14807,15063,3350,10463,14095,15519,15791
72,9261,9261,9089,3370,9343,13047,14583,14895,3574,9839,13079,14727,14999
73,8992,8992,9203,3262,8975,13255,14295,15167,3388,9471,13319,14607,14911
74,9202,9202,8795,3264,9455,13199,14167,14647,3294,9823,13263,13967,14303
75,8930,8930,9165,3234,9111,13175,13879,13919,3274,9559,13463,14167,14255
76,8578,8578,8682,3318,8775,12463,13511,14207,3524,9231,12807,14071,14183
77,7814,7814,7773,3398,8799,12591,13807,13839,3410,9311,12975,14063,14087
78,9232,9232,9276,3518,8487,12815,13743,14039,3696,8559,13103,14007,14351
79,8872,8872,9033,3382,8115,12247,13455,13783,3528,8519,12775,13991,14351
80,9136,9136,8772,3434,8455,12199,13639,13951,3534,8735,12215,14567,14631
81,8324,8324,8554,3218,8551,12231,13575,14271,3374,8839,12551,13583,13935
82,8511,8511,8268,3272,8711,12143,13159,13927,3342,9191,12663,13679,14007
83,8348,8348,8764,3212,8671,12183,13183,13511,3208,9191,12759,13687,14007
84,9416,9416,9013,3332,8847,12487,13399,13679,3486,9471,12951,13919,14287
85,7944,7944,8222,3316,11319,12855,13431,13799,3450,9959,13015,13935,14231
86,8985,8985,8898,3662,8599,12463,13439,13463,3816,9399,12815,13775,14191
87,8512,8512,8686,3680,8847,12319,13391,13423,3870,9215,12671,13655,13759
88,8898,8898,8695,3622,8727,12615,13527,13551,3822,9199,12991,13791,14143
89,8630,8630,8513,3274,8807,12631,13351,13695,3512,9191,13055,13807,14415
90,8451,8451,8097,3202,8903,12759,13695,13775,3352,9063,12407,14167,14511
91,8770,8770,9119,3286,8847,12799,13615,14071,3498,9375,13167,14223,14535
92,8727,8727,8666,3250,8751,12847,13759,13783,3508,8991,13183,13895,14143
93,8755,8755,8911,3300,8895,13159,13823,14063,3380,9647,13519,14175,14487
94,8790,8790,8825,3226,8743,13143,13815,14127,3330,9271,13039,14415,14719
95,8699,8699,8830,3264,8991,13039,13703,14127,3490,9543,13351,14111,14447
96,9074,9074,8733,3330,9095,12727,13727,14047,3480,9607,13311,14415,14727
97,8644,8644,8867,3208,9063,12791,13687,13991,3392,9591,13039,14471,14783
98,8817,8817,8911,3224,9023,12831,13799,14079,3160,9583,13119,14023,14079
99,8739,8739,8666,3182,8919,13071,13751,14063,3166,9519,13463,14095,14335
100,8540,8540,8014,3174,9063,13119,14159,14327,3232,9223,12735,14463,14535
101,8369,8369,8801,3260,9119,13199,14279,14487,3252,9695,13143,14655,14927
102,9433,9433,9466,3310,9191,13399,13975,14287,3406,9575,13399,14735,15031
103,8699,8699,8633,3370,8999,13207,13895,14239,3428,9511,13287,13983,14071
104,8391,8391,8462,3306,8967,13119,14215,14567,3484,9519,13439,14303,14367
105,8169,8169,8000,3322,9095,12991,13895,14287,3456,9615,13391,14383,14503
106,8376,8376,8219,3326,9415,12799,14111,14415,3348,9391,12839,14863,14943
107,8050,8050,8372,3374,9535,13479,14223,14447,3566,9799,14223,14991,15063
108,8586,8586,8791,3342,9591,13591,14511,14847,3402,9823,13615,15079,15327
109,8598,8598,8415,3226,9615,13327,14623,14983,3336,9927,13687,14663,15399
110,8379,8379,8309,3224,9271,13799,14759,14967,3210,9599,13743,14791,14903
111,8683,8683,8756,3272,9511,13775,14711,14743,3352,9999,14159,14887,15159
112,8712,8712,8736,3386,9751,13751,14415,14711,3330,10319,14439,15095,15167
113,8750,8750,8711,3422,10103,13775,14735,15007,3538,10583,14463,15167,15431
114,6297,6297,6287,3482,10263,14183,14887,15319,3780,10367,13559,15615,15703
115,8429,8429,8317,3606,10031,13487,14967,15015,3708,10279,14103,15527,15887
116,8300,8300,8168,3544,10031,13807,14751,15303,3592,10047,14167,14935,16191
117,8476,8476,8566,3566,10327,14271,15399,15727,3590,10711,14559,15255,15511
118,8311,8311,8472,3440,9895,14575,15263,15279,3568,10431,14551,15351,15655
119,8456,8456,8419,3374,9991,14231,15631,15663,3456,10519,14991,15719,16063
120,8400,8400,8333,3364,10239,14503,15263,15319,3432,10255,14095,15815,16151
121,8477,8477,8436,3374,10087,14231,15271,15671,3380,10343,14463,15159,16207
122,8269,8269,7931,3388,10119,13935,15287,15327,3490,10319,14511,15207,15591
123,8740,8740,8783,3328,10127,14159,15271,15591,3442,10703,14863,15543,15623
124,8835,8835,9063,3370,10391,14535,15159,15463,3550,10727,15223,15887,15951
125,7848,7848,8115,3388,10159,14047,14815,15871,3604,10367,14247,14983,16175
126,8526,8526,8418,3446,10031,14183,15111,15439,3510,10495,14359,15079,15327
