TimeElapsed (s),MessageSentCount,MessageSentThroughput (KB/s),MessageReceivedCount,PublishLatencyMinValue (ms),PublishLatencyValueAtPercentile50 (ms),PublishLatencyValueAtPercentile75 (ms),PublishLatencyValueAtPercentile95 (ms),PublishLatencyValueAtPercentile99 (ms),EndToEndLatencyMinValue (ms),EndToEndLatencyValueAtPercentile50 (ms),EndToEndLatencyValueAtPercentile75 (ms),EndToEndLatencyValueAtPercentile95 (ms),EndToEndLatencyValueAtPercentile99 (ms)
127,8333,8333,8539,3472,10111,14279,15199,15255,3574,10527,14687,15335,15447
128,8448,8448,8140,3402,9799,13695,15311,15671,3500,9991,14095,15735,15823
129,8253,8253,7984,3416,9855,13719,14823,14855,3734,10039,13823,14887,14959
130,8173,8173,8443,3532,9887,14519,15207,15551,3674,10471,14599,15231,15311
131,8931,8931,8676,3552,10095,14047,15423,15447,3728,10423,14591,15311,15631
132,8750,8750,9065,3550,10023,14223,14999,15263,3668,10455,14791,15519,15607
133,8685,8685,8986,3522,9887,14119,14903,15199,3690,10303,14167,15455,15799
134,8607,8607,8314,3552,9655,14151,14895,15151,3670,10335,14159,15831,16143
135,8730,8730,8691,3468,9559,13775,14655,15423,3676,9719,14215,14895,15207
136,8665,8665,8481,3444,9807,13583,14687,15007,3622,9983,13599,15207,15567
137,8615,8615,8683,3514,9719,13615,14599,14903,3770,10311,13823,15167,15495
138,8118,8118,8520,3568,12055,14047,14599,14775,3588,12383,14135,14743,14935
139,8995,8995,8713,3690,9191,13447,14447,14511,3856,9535,14039,14719,14791
140,8685,8685,8801,3676,9071,13335,14407,14447,3728,9263,13655,14767,15055
141,7177,7177,7281,3732,8999,13407,14839,14871,3946,4947,12863,14879,14903
142,8527,8527,8330,3532,9503,13519,14599,14943,3640,9855,13639,14375,15287
143,8434,8434,8603,3584,9559,13399,14479,14519,3700,9855,13759,14647,14719
144,8248,8248,8035,3572,9215,13191,14119,14527,3600,9527,13831,14703,15095
145,7882,7882,7861,3550,9743,13527,14279,14895,3562,10079,14167,14903,14991
146,7889,7889,8453,3760,12647,14015,14695,14831,4104,12583,14831,15271,15551
147,9372,9372,9340,3968,9903,13471,14511,14735,4164,12263,13575,15279,15351
148,9227,9227,8927,4136,9535,13423,14207,14479,4172,9807,13447,14207,14383
149,8309,8309,8325,4082,9623,13199,14183,14527,4300,9895,13399,14295,14623
150,8486,8486,8476,3742,9223,13183,14215,14551,3818,9959,13727,14663,14695
151,8762,8762,8691,3544,9087,13351,14199,14487,3708,9575,14031,14759,15015
152,8811,8811,8826,3498,9007,13359,14039,14527,3616,9567,14359,15039,15135
153,8393,8393,8357,3414,9071,13367,14095,14415,3554,9295,13751,14839,14911
154,8616,8616,8320,3346,9263,13423,14791,15071,3536,9359,13159,15551,15895
155,7957,7957,8186,3294,8967,13671,14871,14887,3446,9463,13999,14647,14943
156,8510,8510,8595,3330,9527,13663,14383,14687,3550,9855,13999,14967,15071
157,8494,8494,8513,3420,9815,13679,14343,14703,3492,9919,14351,15031,15119
158,8408,8408,8216,3366,10087,12935,14711,15047,3454,10231,13079,15375,15487
159,7971,7971,8038,3446,10183,13279,14719,14751,3482,4483,13167,14591,14919
160,8418,8418,8628,3412,9911,13679,14407,14647,3616,10759,14207,14967,15063
161,8957,8957,8593,3472,10231,13959,14615,14791,3516,10751,14319,14959,15055
162,8862,8862,8891,3608,10199,14471,15079,15199,3656,10991,14535,15271,15367
163,8837,8837,8642,3562,9999,13831,15135,15439,3628,9983,14479,15215,15519
164,8544,8544,8455,3500,9967,13855,15175,15231,3692,10087,14151,15567,15663
165,7905,7905,8450,3488,9967,14159,14935,15247,3630,10399,14279,15199,15583
166,8945,8945,8698,3396,9975,14255,14919,15199,3476,10439,14247,15575,15615
167,8227,8227,8496,3550,9551,14095,14879,15167,3610,10415,14239,14999,15263
168,8691,8691,8581,3530,9847,14175,15231,15567,3508,10135,14295,15343,15671
169,8903,8903,8849,3468,9751,13983,15183,15487,3478,10135,14023,15415,15711
170,8207,8207,8377,3376,9727,14031,15055,15079,3566,10487,14375,15103,15319
171,8788,8788,8845,3408,9735,13959,14703,15031,3486,10247,14031,15343,15687
172,8793,8793,8592,3418,9839,13583,14951,15031,3510,9951,14063,15103,15407
173,8509,8509,8152,3474,10015,13535,14655,14687,3608,10023,13791,15175,15535
174,7108,7108,7540,3378,9655,14287,15023,15335,3438,10375,14879,15623,16039
175,8224,8224,8173,3574,10159,14111,15175,15495,3780,10655,14479,15759,16087
176,8420,8420,8339,3672,10447,14439,15175,15799,3698,10927,14775,15767,16119
177,8740,8740,8712,3648,10239,14295,15511,15543,3806,10351,14439,15479,15567
178,7792,7792,8053,3506,10239,14015,15383,15727,3630,10671,14511,15583,15951
179,8235,8235,8254,3442,10343,14415,15135,15455,3632,10863,15247,15967,16087
180,8643,8643,8441,3478,10423,14463,15463,15823,3546,10887,14775,16063,16463
181,8347,8347,8541,3470,10391,14471,15783,16127,3568,11223,14831,16071,16375
182,8881,8881,9027,3610,10383,14703,15479,15759,3622,10855,14999,15959,16375
183,9016,9016,8649,3582,10151,14375,15647,15695,3632,10159,14623,16015,16295
184,8969,8969,9050,3552,10095,14655,15351,15599,3718,10199,14911,15711,16007
185,8672,8672,8723,3438,9847,14583,15295,15623,3654,10471,14975,15959,16031
186,8685,8685,8670,3384,9879,14271,15247,15943,3526,10151,14359,15655,15967
187,9736,9736,9147,3384,10055,14487,15231,15583,3414,10471,14287,14975,15359
188,8009,8009,8598,3400,9271,14367,15423,15447,3588,9735,14535,15247,15599
189,8499,8499,8437,3368,9607,14215,15423,15439,3432,9879,14623,15359,15719
190,8565,8565,8639,3374,9663,13975,15271,15295,3526,10167,14055,15759,16095
191,8782,8782,8944,3386,9655,14295,14919,14935,3450,10279,14407,15039,15135
192,9167,9167,9121,3378,9999,14119,15231,15247,3416,10543,14343,15031,15415
193,9510,9510,9524,3406,9991,13919,14735,15007,3584,11735,14511,15135,15287
194,8713,8713,8810,3524,9831,13663,14767,15071,3732,10135,13399,14119,15455
195,9652,9652,9574,3598,9623,13183,14239,14463,3766,10415,13527,14335,14615
196,9265,9265,9205,3742,9335,13407,14015,14055,3966,9631,13511,14223,14511
197,9347,9347,8952,3606,9319,12959,13975,14295,3628,9423,13271,14327,14655
198,8287,8287,9055,3532,9543,13559,14135,14263,3554,10079,13783,14567,14855
199,8672,8672,8782,3718,9183,13295,13855,13999,4032,9751,13055,14327,14607
200,10922,10922,9989,3960,10919,12951,13591,13863,4164,11527,12927,13559,13887
201,8860,8860,9145,4112,7971,12127,13567,13815,4184,8695,12807,13487,13759
202,9579,9579,9350,4260,7867,11927,13231,13527,4392,8439,12655,13599,13871
203,9330,9330,9324,3956,8107,11711,13231,13255,4156,8551,11951,13695,13943
204,9298,9298,9393,3922,7991,11495,12687,12903,4060,8415,11943,12679,12759
205,9158,9158,9445,3890,7607,11503,12615,12887,3958,8083,11623,12551,12855
206,8906,8906,9089,3984,10471,11735,12551,12799,4168,10359,11863,12439,12647
207,9575,9575,9240,4292,10111,11495,12191,12431,4264,10479,11735,12343,12519
208,9136,9136,9174,4094,7903,10895,12119,12423,4232,8663,11567,12247,12511
209,8543,8543,8875,3992,8295,10959,12535,12871,4156,8655,11551,12471,12783
210,9014,9014,8832,3608,8455,10967,12263,12591,3966,9015,11559,12799,13111
211,8818,8818,9060,3508,8783,11695,12447,12871,3584,8919,12183,12831,13063
212,9846,9846,9091,3544,8743,11919,12607,12679,3578,9447,12287,12911,12975
213,8737,8737,9239,3500,8607,12047,12799,12943,3634,9655,12511,13167,13239
214,9738,9738,9321,3626,8879,12055,12631,12911,3840,9079,12407,12983,13423
215,8950,8950,9483,3756,9103,12079,12847,12887,3796,9639,12511,13199,13263
216,10059,10059,9685,3862,9007,12271,12767,13007,3932,9655,12471,13215,13327
217,9540,9540,10326,3830,8983,11943,12783,12815,3808,9407,12255,13015,13255
218,10119,10119,9833,3896,8599,11951,12375,12567,3844,10951,12079,12799,12991
219,9996,9996,9713,3794,8399,11831,12599,12655,3940,8703,12071,12767,13063
220,8648,8648,8567,3700,8003,11895,12783,12935,3872,8231,12375,13087,13151
221,8750,8750,9125,3666,8207,11919,12879,12903,3740,8559,12103,13527,13807
222,9420,9420,9017,3502,8247,11807,12815,13119,3498,8535,11847,13295,13575
223,9379,9379,8678,3426,8311,12071,12719,12759,3504,8743,11887,12855,12967
224,8893,8893,9406,3518,8639,11903,12551,12855,3658,9431,12143,12855,12943
225,8591,8591,8926,3474,8831,12287,12927,13159,3498,9415,12191,13223,13535
226,8840,8840,8878,3512,9207,12119,12679,13223,3498,9863,12527,13223,13511
227,9314,9314,9083,3604,8951,12143,12895,12927,3730,9183,12287,13335,13631
228,9331,9331,8995,3522,9327,12671,13151,13423,3700,10039,12583,13647,13943
229,8958,8958,9307,3600,9335,12495,13199,13471,3818,10279,12735,13503,13807
230,9058,9058,8968,3490,9551,12679,13199,13439,3542,10247,12703,13727,13815
231,9315,9315,9279,3536,9239,12967,13503,13567,3716,9959,13295,14071,14127
232,8640,8640,8932,3566,9455,12983,13759,14031,3620,9663,13039,14447,14743
233,8825,8825,8880,3568,9127,13263,13943,13959,3780,9527,13031,13823,14127
234,9614,9614,9193,3572,9487,13279,14055,14343,3726,9799,13159,13983,14471
235,7305,7305,7449,3624,8687,13119,13631,13751,3910,9351,13255,14031,14247
236,8888,8888,8663,3720,9615,13095,14023,14335,3738,10463,13327,14407,14719
237,9433,9433,10025,3848,9687,13087,13855,13951,3876,10087,13679,14311,14559
238,9433,9433,9280,3862,9311,12719,13703,13959,3928,9695,13207,14535,14631
239,8861,8861,8903,3762,9031,12783,13583,13855,3892,9535,13183,14023,14079
240,8914,8914,8914,3532,9039,13055,13687,13751,3758,9231,13391,14087,14351
241,9603,9603,9697,3534,9391,12775,13679,14007,3720,10015,12879,14319,14599
242,10185,10185,9577,3596,11407,12983,13519,13551,3734,9879,12919,13967,14199
243,8846,8846,9752,3642,8847,12511,13367,13671,3742,9319,13015,13831,14127
244,10017,10017,9573,3698,8943,12383,13295,13535,3858,9431,12791,13871,14319
245,8995,8995,9064,3556,8471,12663,13279,13359,3800,8911,12719,14095,14199
246,8841,8841,8740,3504,8783,12359,13519,13615,3718,9183,12687,13655,14415
247,8847,8847,8914,3530,8631,12639,13311,13599,3636,8879,12983,13631,13727
248,9982,9982,9378,3458,8911,12415,13455,13703,3668,9199,12903,13703,13935
249,8566,8566,8985,3458,9119,12503,13151,13191,3582,9391,13199,13871,14143
250,8708,8708,8758,3430,8887,12671,13335,13511,3568,9615,13231,14111,14159
251,8627,8627,8562,3398,9071,12703,13535,13655,3636,9623,12463,13863,14199
252,8587,8587,8802,3500,9511,12759,13623,13911,3664,9623,13111,14199,14503
253,8914,8914,8888,3504,9671,13015,13687,13711,3584,9967,13039,14199,14503
254,8796,8796,8927,3484,9583,13063,13711,13991,3574,10167,13007,14431,14735
255,9277,9277,9007,3460,9863,12975,13799,13815,3746,10127,12975,14431,14727
256,9133,9133,8948,3512,9831,13311,13967,14135,3660,10719,13247,13887,13943
257,9019,9019,9155,3504,9831,13383,13991,14223,3682,10615,13479,14799,15063
258,9480,9480,9160,3642,9687,13439,14071,14095,3758,10023,13239,14655,14951
259,7765,7765,8526,3696,10047,13367,13863,14343,4092,12671,13471,13983,15215
260,10196,10196,9581,4000,9711,13183,13983,14119,4188,10239,13367,13991,14255
261,8988,8988,9303,4038,8991,12895,13559,14159,4026,9359,13295,14103,14167
262,9107,9107,8982,3978,9287,12887,13863,14143,4164,9623,13407,13983,14431
263,9365,9365,9011,3884,8903,12807,13743,14071,4028,9751,13255,13943,14247
264,9531,9531,9865,3704,8871,12551,13183,13655,3800,9343,12743,14023,14223
265,9147,9147,8818,3768,8719,12455,13407,13703,3950,9031,12519,13199,13559
266,8576,8576,9004,3644,9023,12455,13399,13695,3610,9703,12591,13215,13511
267,8490,8490,8493,3700,11111,12455,13135,13327,4108,9671,12759,13247,13479
268,9200,9200,9681,3890,8863,12319,13127,13159,4000,9399,12623,13487,13535
269,9687,9687,9551,4022,9055,12047,12839,13111,4056,9951,12527,13247,13519
270,9725,9725,9157,4074,8807,11767,12831,13151,4160,8807,12399,13279,13575
271,9107,9107,9466,3714,8711,11935,12927,13223,3906,9671,12607,13487,13783
272,8921,8921,8885,3632,8831,12159,13007,13311,3646,8951,12471,13431,13743
273,8505,8505,8722,3500,8807,12167,12855,13095,3566,9207,12175,13695,14007
274,9268,9268,9023,3526,8791,12207,13071,13343,3652,9231,12591,13023,13383
275,9244,9244,9182,3580,8983,12455,13095,13111,3722,9655,13127,13775,14111
276,9221,9221,8952,3662,8919,12207,12799,13391,3616,9535,12391,13215,13471
277,9228,9228,9297,3690,9215,12335,13047,13327,3872,9991,12519,13327,13615
278,8885,8885,9006,3638,9127,12543,13207,13239,3626,9615,12743,13551,13871
279,8700,8700,9038,3610,9311,12279,13215,13495,3766,9831,12423,13735,14039
280,9312,9312,8887,3522,9463,12263,12951,13167,3736,10095,12367,13279,13351
281,9752,9752,9658,3478,9631,12711,13207,13223,3394,10151,13047,13791,14071
282,9643,9643,9827,3710,9447,12743,13247,13471,3828,11439,12967,13807,14047
283,9401,9401,8946,3764,8719,12103,13311,13535,3796,9431,12551,13647,13959
284,8898,8898,9261,3752,9039,12695,13631,13935,3954,9703,13159,13831,13943
285,8743,8743,8514,3598,9039,12703,13639,13727,3644,9367,12607,14231,14567
286,8561,8561,8788,3522,9263,12743,13431,13687,3576,9679,13143,13791,14111
287,8699,8699,8530,3486,9071,12567,13439,13727,3622,9623,13175,13887,14159
288,8731,8731,8794,3472,9191,12903,13623,13927,3468,10031,13247,14167,14511
289,8912,8912,9373,3442,9455,13071,13895,14031,3568,9983,13551,14231,14511
290,9115,9115,9087,3424,9767,13191,14039,14303,3496,9919,13743,14423,14703
291,9714,9714,9690,3558,9519,13303,13903,14159,3642,10159,13575,14487,14751
292,9781,9781,9206,3582,9607,12919,13799,14063,3640,10055,13159,13975,14375
293,8545,8545,8830,3664,9279,12895,13743,13831,3846,9719,13175,14207,14511
294,9310,9310,9488,3648,9575,12951,13527,13751,3760,9647,13431,14215,14479
295,9323,9323,9386,3658,9343,12967,13583,13863,3754,10007,13431,14143,14295
296,7290,7290,7169,3692,8999,12999,13631,14175,3768,9143,13439,14175,14527
297,9626,9626,9288,3730,9407,13335,13999,14311,3926,9751,13583,14295,14375
298,8448,8448,8382,3610,9071,12751,13975,14287,3700,9351,13487,14271,14607
299,8184,8184,8639,3544,9455,13335,14087,14439,3692,10431,13927,14663,15015
300,8610,8610,8633,3458,9743,13447,14167,14199,3496,10159,14271,15007,15079
301,9413,9413,9125,3400,10055,13143,14391,14495,3376,10775,13287,13975,15327
302,9102,9102,8953,3422,9935,13663,14071,14335,3600,10047,13223,14263,14567
303,8386,8386,8412,3434,10095,12919,14375,14407,3574,10119,13559,14311,14631
304,8849,8849,9421,3442,10423,13823,14415,14455,3502,11015,13935,14567,14871
305,9115,9115,9001,3504,10183,13735,14447,14479,3538,10535,13967,14447,14751
306,9057,9057,8841,3488,10167,13503,14647,14687,3542,10487,13967,14695,15039
307,8724,8724,8928,3462,10127,13823,14543,14855,3646,10551,14039,15023,15111
308,9007,9007,8999,3308,10175,13903,14535,15143,3380,10263,14335,14999,15359
309,8751,8751,8628,3342,10303,14047,14815,14839,3490,10775,14271,15071,15359
310,9432,9432,9066,3448,10319,14151,14783,15095,3702,10799,14295,15303,15415
311,9092,9092,9263,3484,9943,13911,15023,15047,3672,10743,14519,15271,15575
312,8704,8704,9061,3520,10247,13911,14559,14591,3572,10631,14751,15255,15559
313,9040,9040,8798,3452,9959,13815,14903,14919,3544,10319,13791,15511,15815
314,8832,8832,8885,3420,10175,13503,14479,14783,3604,10559,13743,14519,14807
315,8740,8740,8841,3390,10239,13815,14487,14759,3458,10311,14087,14847,15143
316,8888,8888,9158,3384,10399,13895,14503,14791,3494,10607,14391,15047,15103
317,9451,9451,9276,3352,10039,13711,14783,14807,3526,10543,14319,14983,15351
318,9440,9440,8760,3372,9983,13503,14351,14719,3464,10727,13567,14991,15319
319,8628,8628,8729,3392,10263,13847,14695,14991,3596,10415,14183,15615,15927
320,7978,7978,9021,3480,12055,14023,14567,14815,3800,12935,14423,15183,15407
321,10238,10238,9409,3864,10191,13647,14639,14959,3824,10223,13775,15319,15647
322,8985,8985,9564,3964,9791,13167,14151,14391,4164,10415,13719,14247,14519
323,9867,9867,9789,4112,9391,12903,14015,14271,4196,9991,13543,14135,14295
324,9615,9615,9169,3916,8871,12511,13719,14015,3966,9279,13191,13999,14319
325,8693,8693,8764,3676,8871,12479,13775,14079,3844,9391,13303,14231,14607
326,8501,8501,8736,3498,8927,12543,13807,14167,3596,9455,12879,14359,14607
327,9249,9249,9047,3358,9367,12879,13839,14071,3452,9839,12991,13663,13927
328,9266,9266,9069,3558,11399,12607,13575,13863,3916,12351,13031,13519,13767
329,8714,8714,8882,3732,8711,12287,13175,13495,3840,9055,12951,13591,13887
