TimeElapsed (s),MessageSentCount,MessageSentThroughput (KB/s),MessageReceivedCount,PublishLatencyMinValue (ms),PublishLatencyValueAtPercentile50 (ms),PublishLatencyValueAtPercentile75 (ms),PublishLatencyValueAtPercentile95 (ms),PublishLatencyValueAtPercentile99 (ms),EndToEndLatencyMinValue (ms),EndToEndLatencyValueAtPercentile50 (ms),EndToEndLatencyValueAtPercentile75 (ms),EndToEndLatencyValueAtPercentile95 (ms),EndToEndLatencyValueAtPercentile99 (ms),masternode
874,8693,8693,8193,11712,16607,17567,19039,19103,11976,16751,18367,19503,19551,node0
875,7758,7758,7366,11856,16399,18191,19135,19279,11072,16815,17935,19615,20159,node0
876,7544,7544,7841,11488,16559,17455,18959,19583,11544,16895,17823,19247,19695,node0
877,7767,7767,7579,12008,16351,17983,19935,20015,12576,17039,17999,20223,20271,node0
878,7401,7401,7785,12224,17119,18095,19263,19551,12208,17535,18239,19823,20319,node0
879,8268,8268,8200,11888,16959,18671,19791,20287,12216,17295,18607,20319,20399,node0
880,7685,7685,7626,12016,17183,18431,19983,20047,12760,17567,19183,20463,20511,node0
881,7977,7977,7974,12640,17647,18975,20511,20575,12824,17647,18655,20975,21023,node0
882,7997,7997,8000,12328,17423,18735,20287,20799,11896,17919,18767,21039,21519,node0
883,7887,7887,7920,12792,17903,18847,20431,20703,12432,17999,19295,21055,21551,node0
884,7716,7716,7680,12896,17967,19375,20895,20975,12944,18319,19567,21135,21647,node0
885,7958,7958,7970,13464,18191,19279,20751,21279,13560,18079,19407,21167,21695,node0
886,7911,7911,7900,13288,18351,19903,20623,20895,13232,18495,19631,20879,20927,node0
887,8048,8048,8128,13144,18671,19535,21055,21375,13264,18319,20175,21471,21983,node0
888,8058,8058,8002,13328,18623,19247,21327,21567,13344,18623,19727,22463,22527,node0
889,8020,8020,8000,13816,18415,19759,21231,21807,13400,18815,20271,21567,22479,node0
890,7924,7924,7921,14320,18863,19855,21967,22047,12960,19295,20815,22047,22095,node0
891,7956,7956,7970,13320,19071,20399,21663,21711,13472,19407,20079,22191,22223,node0
892,7725,7725,7918,13344,19119,20095,21615,22191,13576,19375,20655,22255,22655,node0
893,8200,8200,7991,13840,19119,20703,21695,22159,13656,19631,20159,22351,22799,node0
894,8010,8010,8063,13896,19167,20207,21839,22239,13712,19119,20623,22463,22895,node0
895,8208,8208,8171,13912,19231,19807,21871,22383,13808,19423,20239,22479,23007,node0
896,7782,7782,7776,14000,18751,20319,21871,21887,14440,19247,20831,22527,22575,node0
897,8000,8000,7990,13512,19295,20303,21887,22383,12992,19487,20399,22143,23055,node0
898,7870,7870,8001,13968,19295,20911,21951,22431,14056,19567,20703,22239,22671,node0
899,8065,8065,7957,13984,19759,20303,21503,22495,13768,19727,20239,22383,22847,node0
900,7770,7770,7760,13488,19407,20847,22079,22591,13848,19279,20351,22943,23423,node0
901,7656,7656,7394,13472,19455,20447,22047,22527,13848,19887,20751,23007,23503,node0
902,7416,7416,7396,13952,19423,20959,22079,22527,13880,19743,20815,22591,22975,node0
903,7625,7625,7803,13992,19407,20495,22063,22543,13448,19823,21327,22639,23039,node0
904,7553,7553,7689,12992,19455,20895,22079,22591,13032,19231,21167,22623,23167,node0
905,8103,8103,8135,13448,19247,20175,22047,22575,13048,19279,20415,22191,23103,node0
906,7742,7742,7701,13424,19103,20703,22463,22479,13528,19087,20015,22623,22687,node0
907,7741,7741,7705,13248,19135,20223,21775,21807,13048,19439,20351,22671,22719,node0
908,7853,7853,7857,13752,19183,19711,21791,22287,13576,19551,20415,22751,23167,node0
909,8206,8206,8202,13192,19199,20831,21871,21903,13736,19231,21055,22799,22863,node0
910,7944,7944,8000,13272,19135,20863,22367,22399,13296,19327,20207,22431,23375,node0
911,7868,7868,8105,13216,19231,20703,21935,22415,12856,19423,20991,22527,23007,node0
912,8108,8108,7895,13112,19151,19743,21839,21871,12896,19199,19791,21967,22031,node0
913,7680,7680,7606,13144,18623,20271,21839,22351,12952,18879,20015,22063,22495,node0
914,8000,8000,7994,13104,18575,20175,21887,22335,13000,18911,20863,22575,23103,node0
915,7964,7964,8000,12600,19039,21247,21759,21807,12568,19007,19935,22175,22207,node0
916,8003,8003,8200,12608,18527,20159,22271,22319,12592,18959,20063,22719,22767,node0
917,7847,7847,7593,13128,18975,19599,21743,22815,13176,19007,20079,21823,23295,node0
918,7877,7877,7780,12704,18975,20623,21759,22255,12728,19247,20623,21903,22351,node0
919,7710,7710,7359,13224,18927,20031,22239,22271,12768,19055,20191,22415,22879,node0
920,7432,7432,7514,13264,18943,20495,22207,22703,13288,19167,20719,22463,22975,node0
921,7547,7547,7664,13752,18895,19951,22079,22127,13848,19199,19839,22527,23023,node0
922,7822,7822,8090,13488,18911,19487,21567,22031,13400,18975,20271,22511,23007,node0
