TimeElapsed (s),MessageSentCount,MessageSentThroughput (KB/s),MessageReceivedCount,PublishLatencyMinValue (ms),PublishLatencyValueAtPercentile50 (ms),PublishLatencyValueAtPercentile75 (ms),PublishLatencyValueAtPercentile95 (ms),PublishLatencyValueAtPercentile99 (ms),EndToEndLatencyMinValue (ms),EndToEndLatencyValueAtPercentile50 (ms),EndToEndLatencyValueAtPercentile75 (ms),EndToEndLatencyValueAtPercentile95 (ms),EndToEndLatencyValueAtPercentile99 (ms),masternode
2977,12031,12031,12012,10280,14135,25743,28351,29727,9744,13599,26063,27791,29151,node2
2978,12009,12009,12200,9896,13927,26271,28111,28207,10000,13767,25855,28399,29007,node2
2979,12269,12269,12218,10184,13591,25999,28687,28799,9840,13271,24127,27551,28687,node2
2980,12135,12135,12182,10304,13535,24415,27919,27951,9824,13367,24479,27871,28047,node2
2981,12224,12224,12000,10192,13431,24495,26783,27375,10160,13311,24831,27071,27695,node2
2982,11968,11968,12000,9880,13271,25119,26399,27311,9792,13495,24063,26783,27151,node2
2983,12245,12245,12009,10240,13535,24719,27007,27039,9976,13199,24991,27551,28031,node2
2984,11949,11949,12197,10248,13503,23999,26527,27631,10256,13359,24255,26767,27327,node2
2985,12070,12070,12004,10168,13199,24367,27055,27119,9968,13111,24207,26735,27871,node2
2986,12197,12197,12262,9832,13191,23295,26239,27663,9840,13167,23071,27007,27599,node2
2987,12005,12005,11928,10048,13103,23055,26783,27359,9544,13335,22943,25711,27039,node2
2988,11949,11949,12000,9824,13263,23551,24879,25519,9360,13151,23039,25119,25711,node2
2989,12007,12007,12211,9640,13191,23247,25359,25455,9904,13063,22767,24879,25487,node2
2990,12376,12376,12189,9864,13015,22991,25183,25759,9400,12831,23071,25167,25455,node2
2991,12087,12087,12000,9728,12887,22463,24095,24159,9240,12999,22735,24591,25087,node2
2992,11907,11907,12200,9552,12879,22783,24607,25119,9760,12903,22495,24719,25583,node2
2993,12441,12441,12225,9440,12799,22687,24351,24415,9296,12359,22079,25151,25295,node2
2994,11992,11992,12175,9392,12551,22511,24895,24943,9232,12471,22607,23407,25839,node2
2995,12417,12417,12040,9344,12247,21327,24239,24255,9376,12487,21743,23999,24591,node2
2996,11762,11762,12160,9176,12543,22463,23631,24799,9216,12479,21439,24015,24543,node2
2997,12669,12669,12289,9384,12199,18655,24095,24703,9024,12423,20575,24223,25071,node2
2998,9864,9864,10729,10592,12239,24687,24687,24703,11728,11751,11767,11783,11783,node2
2999,97,97,94,9760,12567,22991,24943,24975,9792,11919,20911,24863,24959,node2
3000,4336,4336,4496,9368,12607,21935,23615,24287,9080,12199,21391,24559,25247,node2
3001,12262,12262,11268,9328,12351,20767,23487,24111,8968,12383,21631,23727,24271,node2
3002,12089,12089,12332,9480,12343,19247,23215,23535,9248,12423,20735,23583,25375,
3003,3432,3432,12027,11040,14103,23343,25407,25583,9272,12503,21039,23951,24655,
3004,10257,10257,12365,10576,13367,21519,24367,24815,9976,12607,21503,24143,25391,
3005,19989,19989,12000,10472,13279,21855,24031,25199,9736,13039,21663,23695,24943,
3006,15108,15108,12411,10920,13487,21343,24095,24751,10624,13551,21583,24287,24943,
3007,12404,12404,12010,10768,13631,21919,24255,24367,10288,13743,21871,24943,25247,node2
3008,11753,11753,11979,10696,13879,21615,24863,25007,10696,13847,21631,24495,25887,node2
3009,12220,12220,12021,10920,13903,21743,24943,25135,10568,14191,22495,25423,25759,node2
3010,11987,11987,12186,10584,14015,22383,24783,25599,10216,13975,22511,24783,25103,node2
3011,12127,12127,12393,10992,14295,22495,25471,25983,10416,14559,22511,25471,25775,node2
3012,12131,12131,12200,11000,14607,22751,25023,25679,10456,14583,22831,25423,25695,node2
3013,12531,12531,12000,10832,13951,22703,25695,26287,10968,13863,22591,25999,26319,node2
3014,12388,12388,12236,11424,14471,23247,25423,26559,10968,14639,23071,26127,27263,node2
3015,11781,11781,12364,10864,14791,23471,25855,26271,10440,14551,23663,25983,26655,node2
3016,12628,12628,12209,10472,14463,23071,25951,26367,10920,14183,23407,26591,27183,node2
3017,12268,12268,12073,10880,14175,23135,26479,27023,10744,13983,22895,25983,27375,node2
3018,11501,11501,12217,10784,14295,23183,26367,26655,10432,14207,23039,26671,27247,node2
3019,12346,12346,12101,10776,14319,23199,25727,27279,10368,14319,23471,26335,27871,node2
3020,12274,12274,12207,10744,14119,22639,26335,26847,10464,14271,22911,26943,27167,node2
3021,11836,11836,11954,10752,14095,23327,26831,26911,10232,14015,24143,27231,27887,node2
3022,12472,12472,12663,10720,14087,24335,27487,27551,11040,13855,23807,26367,27743,node2
3023,12500,12500,12182,10640,14023,24063,27071,27583,10344,13991,23759,27007,27631,node2
3024,12294,12293,12204,10584,14087,23519,26559,27183,10072,13903,23535,27263,27919,node2
3025,12303,12304,12232,10752,14191,23599,27695,27887,10248,13751,23327,27423,28623,node2
3026,12302,12302,12364,10832,14023,23631,26911,27471,10184,13951,23183,27855,28431,node2
3027,12116,12116,12194,10760,13951,22991,26223,26863,10584,14007,23471,27087,27743,node2
3028,12651,12651,12482,10880,14375,23583,26847,27471,10016,14047,23071,27823,28431,node2
3029,12409,12409,12140,10472,14167,22335,26895,27487,10384,14319,22847,26751,27439,node2
3030,11776,11776,12578,10928,14423,23583,26911,27023,10528,14543,23423,27055,27695,node2
3031,12320,12320,12400,10944,14351,22991,26255,27567,10608,14271,23391,26959,28335,node2
3032,12360,12360,12000,10936,14351,22943,26943,27487,10936,14127,23231,27599,28271,node2
3033,12831,12831,12404,10928,14223,22959,26479,28143,10344,14375,23167,26863,28927,node2
3034,11853,11853,12407,10856,14327,22927,26799,27023,10872,13855,22655,25887,27263,node2
3035,12253,12253,12389,11008,14255,23119,26255,26783,10888,14063,23119,26511,27087,node2
3036,12458,12458,12216,10904,14143,23071,26095,27903,10472,14199,23135,26287,28239,node2
3037,12534,12534,12385,10696,14391,23007,26703,27279,10728,14495,23119,26895,27535,node2
3038,12211,12211,12207,10760,14263,22335,26239,26847,10496,14671,22223,27167,27839,node2
3039,11995,11995,12192,10672,14071,23007,26863,27519,10944,14023,22591,26159,28127,node2
3040,13131,13131,12808,10808,14095,22431,26287,26927,10272,14007,22479,26799,27471,node2
3041,12035,12035,12592,10312,14303,23055,26319,26943,10448,14295,22735,27135,27807,node2
3042,12927,12927,12400,10648,14191,22303,26143,27455,10936,14215,22383,26895,28335,node2
3043,12258,12258,12068,10176,14215,22303,26223,27359,10392,14087,22863,26959,28127,node2
3044,12131,12131,12154,10624,13903,22239,26095,26671,10184,14255,22959,26735,27343,node2
3045,12395,12395,12303,10688,13911,22223,26719,27327,10600,13559,22223,26783,27999,node2
3046,12236,12236,12286,10584,13799,22191,26575,27247,10528,13775,22639,27183,27855,node2
