TimeElapsed (s),MessageSentCount,MessageSentThroughput (KB/s),MessageReceivedCount,PublishLatencyMinValue (ms),PublishLatencyValueAtPercentile50 (ms),PublishLatencyValueAtPercentile75 (ms),PublishLatencyValueAtPercentile95 (ms),PublishLatencyValueAtPercentile99 (ms),EndToEndLatencyMinValue (ms),EndToEndLatencyValueAtPercentile50 (ms),EndToEndLatencyValueAtPercentile75 (ms),EndToEndLatencyValueAtPercentile95 (ms),EndToEndLatencyValueAtPercentile99 (ms),masternode
1,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,5478,5478,7459,12,501,562,664,726,92,523,767,927,959,node1
3,9011,9011,9985,736,1331,1630,1813,1882,968,1636,1953,2127,2219,node1
4,9701,9701,9143,1886,2293,2535,2693,2745,2226,2691,2895,3089,3131,node1
5,8409,8409,9184,2732,3307,3495,3753,3797,3136,3711,3917,4183,4203,
6,9784,9784,9418,3688,4323,4647,4823,4919,4204,4835,5179,5359,5423,
7,9032,9032,9574,4916,5403,5487,5691,5779,5440,5879,6079,6231,6295,
8,9270,9270,9000,5784,6267,6543,6727,6887,6308,6871,7183,7395,7423,
9,10031,10031,9458,6784,7263,7519,7735,7819,7444,7927,8223,8367,8423,
10,8846,8846,9135,7692,8147,8367,8695,8735,7588,8775,9055,9303,9335,node1
11,8929,8929,8899,7996,8959,9191,9383,9463,8408,9607,9871,10055,10071,node1
12,8405,8405,8491,8488,9871,10151,10399,10503,9080,10479,10855,11055,11119,node1
13,9377,9377,9159,9304,10943,11255,11671,11727,10144,11639,12023,12383,12423,node1
14,8909,8909,9635,10352,12111,12455,12591,12711,10224,12823,13047,13359,13399,node1
15,9709,9709,9055,10168,12935,13207,13503,13567,10456,13735,14087,14295,14343,node1
16,9182,9182,9696,10184,13719,14079,14599,14719,9936,14143,14727,15271,15479,node1
17,9582,9582,9024,10584,14543,14943,15231,15303,10600,14167,15495,16079,16159,node1
18,8686,8686,9145,10592,14335,15687,16039,16239,10200,14695,15911,16575,17247,node1
19,8849,8849,8751,10368,15151,16767,17263,17583,10560,15111,16655,17871,18335,node1
20,8897,8897,9199,10432,14271,16143,17663,18015,10096,14679,16071,17295,18719,node1
21,8503,8503,8697,10424,15223,17087,17647,18079,10480,16023,17263,17935,18303,node1
22,8395,8395,7971,10512,16135,16719,17599,18479,10560,15095,16991,18239,18575,node1
23,8931,8931,9008,10472,15359,17023,17983,18015,10328,15447,16751,17999,18479,node1
24,9480,9480,8699,10488,15431,17055,18015,18383,10248,16143,17663,18895,19215,node1
25,9125,9125,10001,10456,16287,17263,18031,18431,10544,16623,17231,18143,18335,node1
26,8992,8992,8371,10256,15839,17103,18207,18431,10216,15911,17647,18143,18591,node1
27,8585,8585,9246,10216,16311,17119,17919,18319,10408,16367,17391,18431,18895,node1
28,10234,10234,9564,10168,15871,16831,18063,18143,9904,15935,17263,18255,18575,node1
