TimeElapsed (s),MessageSentCount,MessageSentThroughput (KB/s),MessageReceivedCount,PublishLatencyMinValue (ms),PublishLatencyValueAtPercentile50 (ms),PublishLatencyValueAtPercentile75 (ms),PublishLatencyValueAtPercentile95 (ms),PublishLatencyValueAtPercentile99 (ms),EndToEndLatencyMinValue (ms),EndToEndLatencyValueAtPercentile50 (ms),EndToEndLatencyValueAtPercentile75 (ms),EndToEndLatencyValueAtPercentile95 (ms),EndToEndLatencyValueAtPercentile99 (ms),masternode
1,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,6983,6983,9200,207,650,944,1295,1307,487,1038,1339,1668,1781,node2
3,10874,10874,11674,1304,1728,1941,2101,2215,1800,2229,2537,2677,2727,node2
4,10811,10811,10937,2108,2337,2461,2525,2651,2748,2969,3037,3169,3193,node2
5,9430,9430,9622,2456,3209,3545,3679,3795,3198,3845,4191,4495,4543,node2
6,11036,11036,10870,3664,4211,4379,4631,4735,3960,4959,5255,5471,5551,node2
7,10974,10974,10377,4524,4991,5119,5339,5407,4580,5787,6031,6251,6311,node2
8,10382,10382,10438,4952,5963,6211,6583,6639,5316,6491,6847,7459,7587,node2
9,10534,10534,10786,5992,7111,7339,7695,7723,5576,7339,7695,8263,8591,node2
10,10250,10250,9976,5648,7919,8071,8295,8335,5328,8063,8199,8367,8959,node2
11,9961,9961,10603,5672,8703,9255,9551,9671,5472,8919,9319,9647,9719,node2
12,10092,10092,9537,6156,9847,10159,10431,10431,5984,10039,10295,10503,10535,node2
13,10033,10033,10395,6156,10671,10959,11087,11159,6144,10695,11031,11319,11351,node2
14,9846,9846,9670,6000,11335,11783,12327,12351,6420,11455,11975,12623,12759,node2
15,8996,8996,9400,6104,11783,12807,13231,13255,5876,12095,13143,13591,13687,node2
16,10108,10108,9637,6248,11655,13591,13687,13735,6768,11871,13847,14031,14111,node2
17,9234,9234,9404,6272,12063,14063,14927,15215,6028,12223,14351,15167,15511,node2
18,9888,9888,9874,6700,12183,13759,15343,15743,6636,12303,14223,15695,15903,node2
19,9758,9758,9917,7412,12455,14143,15327,15751,7664,13039,14663,15799,16055,node2
20,10992,10992,10832,7864,12503,14503,15359,15735,7852,12687,14815,15375,15583,node2
21,9004,9004,9535,7952,12703,14583,15783,16191,8080,12727,14471,15743,16143,node2
22,10414,10414,10031,8232,12447,14303,15847,15911,8784,12887,14887,16039,16111,node2
23,9670,9670,9881,8560,12431,14567,16271,16639,9240,12527,14511,16287,16575,node2
24,10578,10578,9534,9928,12671,14695,16287,16671,9952,12751,15095,16671,17071,node2
25,9742,9742,10784,9368,12639,14759,15983,16007,9616,12335,15039,16231,16255,node2
26,9745,9745,9395,9400,12423,14391,16359,16447,9472,12583,14991,16511,16559,node2
27,10315,10315,10268,9784,12271,14431,16111,16135,9736,12975,14215,15223,16975,node2
28,9584,9584,9612,9712,12343,14479,16063,16447,9496,12695,14799,16111,16527,node2
29,10404,10404,10162,9808,12487,14383,16143,16463,9720,12351,14775,16463,16751,node2
30,8956,8956,9662,10208,11839,14703,16559,16863,9936,12855,14807,15175,16911,node2
31,10262,10262,9010,9848,12303,14703,15639,16079,9840,12639,15127,15839,16447,node2
32,9490,9490,10193,9856,12439,14799,15943,16479,9512,12983,15039,16207,16639,node2
33,10230,10230,9912,9480,12359,14687,16351,16719,9864,12975,15095,16135,17023,node2
34,9021,9021,9561,9928,12439,14807,16111,16511,9912,12631,14823,16927,17487,node2
35,8753,8753,8713,10496,12559,15423,16279,16943,10272,12983,15679,16815,17887,node2
36,8694,8694,8612,10136,13391,15071,15479,16311,10960,13895,15911,16911,16927,node2
37,8936,8936,8960,10272,13007,15143,16703,16831,9976,13191,15375,17167,17551,node2
38,9902,9902,10121,10240,12727,15231,16015,17167,10200,13015,15295,16383,16543,node2
39,9758,9758,9508,10304,13607,15199,16783,16863,10048,13759,15687,16911,17263,node2
40,9734,9734,9407,10664,12335,15495,16431,16463,10832,13055,15815,17119,17183,node2
41,9488,9488,9657,9944,12887,15303,16543,16943,9776,13239,15383,16543,17087,node2
42,9149,9149,9441,10312,13215,15719,16943,16991,10376,13511,15551,17199,17391,node2
43,9692,9692,9794,10360,13343,16135,16975,17391,10568,13919,16191,17135,17183,node2
44,9786,9786,9315,10352,13207,15399,16975,17055,10584,13167,15439,17487,17615,node2
45,9791,9791,9965,10168,13207,15391,16991,17071,9952,13663,15615,16959,17423,node2
46,9285,9285,9759,10408,13583,15359,16247,16263,10096,13767,16079,17023,17055,node2
47,9806,9806,9246,10096,13591,15823,17055,17103,10200,13591,15543,17391,17695,node2
48,9212,9212,9597,9744,13511,15407,16751,17119,9560,13879,15991,16975,17343,node2
49,10810,10810,10194,9984,13447,15783,16607,17039,9720,13903,15783,16959,17503,node2
50,9561,9561,10189,9904,12887,15599,17023,17039,9864,12951,15615,16607,17007,node2
51,9727,9727,9334,9944,13447,15007,17023,17375,9160,13815,15319,17055,17375,node2
52,9799,9799,9810,9480,13279,15399,16447,16863,9432,13391,15527,16863,17631,node2
53,9527,9527,9562,9528,13263,14959,16815,17199,9808,13391,15423,16607,17023,node2
54,9509,9509,9713,9944,13367,15391,16783,16815,10088,13583,15279,16911,17327,node2
55,9386,9386,9132,10344,13335,15951,16399,16431,10216,13911,15807,17183,17311,node2
56,10104,10104,9827,10000,13415,15071,16479,16831,10040,13519,15471,16623,17375,node2
57,9058,9058,9302,9872,13391,14975,16031,16847,9912,13719,14951,16415,17119,node2
58,9657,9657,9565,9936,13399,15391,16831,16847,9728,13927,15127,16815,17151,node2
59,10069,10069,10364,10040,13367,15335,16751,17199,9736,13503,15415,17023,17407,node2
60,8434,8434,8631,10064,13743,14727,16463,17167,10032,13535,14591,16975,17519,node2
61,10673,10673,10498,10056,13399,15239,16719,16895,10200,13887,15335,16687,17679,node2
62,10054,10054,9911,10400,13303,14703,16799,17183,10696,13415,15095,16879,17167,node2
63,10039,10039,10061,10808,13431,15111,16655,16783,10504,13639,15095,17215,17535,node2
64,9736,9736,9932,10392,13023,14799,16207,17023,10792,13071,14751,16343,16607,node2
65,11062,11062,11029,10240,12519,14751,16607,16991,10016,12919,15135,16911,17023,node2
66,9544,9544,9117,9824,13159,14903,16495,16927,9464,13311,14695,16895,17279,node2
67,9828,9828,10361,10160,13111,15111,16255,16543,10048,13319,14927,16415,16511,node2
68,9977,9977,9764,10000,13015,14719,15959,16559,10144,13055,14823,16591,16847,node2
69,11564,11564,11643,10000,12879,14527,16375,16639,10344,12911,15191,16815,16991,node2
70,10058,10058,9940,9872,12967,14855,16375,16799,9752,12975,15031,16895,17327,node2
71,9578,9578,9914,10240,12791,14367,15679,15815,9936,13031,14999,16367,16559,node2
72,10898,10898,10609,9840,12719,14511,16055,16383,10064,12399,14959,16431,16751,node2
73,9929,9929,9921,9696,12551,14583,16047,16399,9464,12583,14527,16831,17215,node2
74,11011,11011,10981,10104,12607,15063,15839,15927,9400,12943,14911,16351,16495,node2
75,9659,9659,9800,9784,12543,13751,15335,16279,9648,13007,14079,16159,16751,node2
76,10365,10365,10337,10080,12879,14503,15695,15759,9952,12671,14479,15631,16607,node2
77,9053,9053,8949,10160,12951,14231,15775,16191,10248,12839,15055,16207,16375,node2
78,9956,9956,10006,10176,12671,14599,15823,16191,10056,13007,14727,16207,16735,node2
79,9720,9720,9959,10304,12607,14719,15871,15879,9952,13023,14999,15967,16015,node2
80,9822,9822,9458,10032,12711,14735,15951,16263,9728,12583,14615,15879,16527,node2
81,9516,9516,9588,10408,12727,14391,15559,16375,10168,13047,14239,16135,16719,node2
82,10815,10815,10441,10048,12871,14367,15943,16335,10344,13119,14471,15839,16527,node2
83,9292,9292,9464,10480,13223,14447,15711,15911,10360,13335,15031,16055,16223,node2
84,10415,10415,10618,10528,13087,14799,16007,16359,10192,13071,15015,16447,16639,node2
85,9979,9979,10250,10208,12767,14799,16383,16431,9944,13087,14887,16927,17327,node2
86,9781,9781,9649,10608,13191,13639,16087,16111,10232,13671,14983,16207,16975,node2
87,10239,10239,9938,10120,12887,14879,15791,16415,10352,13263,14751,16463,16703,node2
88,9942,9942,10120,10120,12999,14631,16191,16559,10216,13127,14711,16879,17279,node2
89,10372,10372,10222,10088,12919,14919,16175,16879,9976,12551,14559,16463,16751,node2
90,10396,10396,10444,9888,12879,14607,16231,16591,10112,12847,14695,16271,16751,node2
91,9093,9093,9388,10280,12647,14647,16607,17039,10272,12959,15191,16655,17119,node2
92,9892,9892,9570,10424,12615,14607,16719,16751,10168,12967,14775,16279,17087,node2
93,10075,10075,10110,10040,12983,15047,16671,16815,10416,13015,15319,16447,16719,node2
94,9213,9213,9409,10064,12639,14599,16311,16671,10224,13015,14543,16463,17119,node2
