TimeElapsed (s),MessageSentCount,MessageSentThroughput (KB/s),MessageReceivedCount,PublishLatencyMinValue (ms),PublishLatencyValueAtPercentile50 (ms),PublishLatencyValueAtPercentile75 (ms),PublishLatencyValueAtPercentile95 (ms),PublishLatencyValueAtPercentile99 (ms),EndToEndLatencyMinValue (ms),EndToEndLatencyValueAtPercentile50 (ms),EndToEndLatencyValueAtPercentile75 (ms),EndToEndLatencyValueAtPercentile95 (ms),EndToEndLatencyValueAtPercentile99 (ms),masternode
1,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,6480,6480,7290,7,570,851,935,992,230,841,1105,1337,1395,node2
3,9726,9726,11563,1004,1529,1800,1990,2093,1403,1972,2273,2519,2573,node2
4,10837,10837,10709,2062,2503,2709,2905,2935,2590,3047,3239,3453,3475,node2
5,10157,10157,10647,2900,3481,3737,4015,4067,3476,4037,4295,4591,4611,node2
6,9590,9590,9102,3906,4387,4611,4835,4887,3734,4995,5299,5519,5555,node2
7,10360,10360,10478,4636,5323,5635,5887,5947,4564,5999,6331,6599,6643,node2
8,9467,9467,10157,5380,6275,6507,6707,6851,5648,6883,7239,7503,7595,node2
9,9690,9690,9033,6588,7111,7463,7731,7779,6604,7867,8223,8479,8527,node2
10,9841,9841,10040,7168,8127,8303,8671,8703,7572,8855,9143,9415,9471,node2
11,10251,10251,10118,7888,9063,9415,9679,9863,8480,9799,10247,10543,10639,node2
12,9559,9559,9573,9080,10087,10343,10583,10655,9472,10887,11239,11519,11551,node2
13,9700,9700,9303,9456,10815,10951,11319,11359,9792,11047,11711,12007,12167,node2
14,8782,8782,8892,9624,11287,11791,12311,12551,9616,11655,12383,13247,13431,node2
15,9750,9750,10038,9568,11927,12943,13551,13599,9304,12335,13695,14343,14543,node2
16,9488,9488,9257,9656,12079,13895,14367,14383,9720,12279,14319,15295,15471,node2
17,9213,9213,9284,9408,12439,14679,15551,15639,9072,12543,15135,16223,16495,node2
18,9422,9422,9822,9792,12559,15927,16447,16495,9680,12839,15799,17215,17471,node2
19,8477,8477,8610,9896,13119,15823,17247,17359,10272,12975,15831,17999,18319,node2
20,9452,9452,9227,9784,12767,16247,18143,18463,9656,13055,16399,18703,19295,node2
21,10653,10653,10439,10144,13135,16719,18127,18543,9872,13199,16783,18591,18959,node2
22,9735,9735,9720,10192,12655,16399,18831,19311,10448,12927,17391,18687,19103,node2
23,9960,9960,9886,10096,12679,16399,18559,18767,9912,12895,16215,19183,19551,node2
24,8267,8267,8849,10496,11991,18495,19135,19167,9792,13015,17999,19631,19951,node2
25,8573,8573,8460,10376,12991,17071,18863,19071,10408,13375,17279,18991,19103,node2
26,8894,8894,9049,10296,12999,17103,19199,19647,10144,13247,17535,19551,19903,node2
27,10068,10068,9851,10328,13271,16703,18815,19327,9968,13647,17151,19599,19983,node2
