TimeElapsed (s),MessageSentCount,MessageSentThroughput (KB/s),MessageReceivedCount,PublishLatencyMinValue (ms),PublishLatencyValueAtPercentile50 (ms),PublishLatencyValueAtPercentile75 (ms),PublishLatencyValueAtPercentile95 (ms),PublishLatencyValueAtPercentile99 (ms),EndToEndLatencyMinValue (ms),EndToEndLatencyValueAtPercentile50 (ms),EndToEndLatencyValueAtPercentile75 (ms),EndToEndLatencyValueAtPercentile95 (ms),EndToEndLatencyValueAtPercentile99 (ms),masternode
1,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,5472,5472,7720,82,500,641,780,791,213,935,1339,1429,1430,node1
3,10826,10826,11960,712,1288,1568,1792,1869,837,1457,1727,1955,2016,node1
4,10733,10733,10213,1798,2159,2401,2479,2533,2024,2409,2601,2771,2781,
5,10127,10127,10243,2458,3025,3255,3435,3483,2786,3277,3553,3777,3815,
6,9236,9236,9457,3566,4023,4127,4491,4495,3826,4347,4539,4735,4779,
7,8918,8918,9157,4416,4887,5003,5375,5387,4784,5271,5523,5703,5731,
8,9091,9091,8934,5056,5891,6279,6695,6783,5076,6311,6711,7063,7159,
9,9649,9649,8585,6316,7083,7291,7547,7583,6184,7483,7715,8027,8059,node1
10,10097,10097,10887,6996,7867,8183,8295,8343,7080,8351,8583,8855,8879,node1
11,10054,10054,9936,7232,8623,8927,9119,9247,7064,9175,9519,9727,9799,node1
12,9057,9057,9427,7344,9527,9839,10119,10207,7316,10023,10455,10783,10863,node1
13,9938,9938,9802,7304,10415,10775,11143,11199,7184,10991,11407,11735,11791,node1
14,9822,9822,9730,7112,11271,11671,12223,12255,6968,11855,12287,12671,12783,node1
15,9827,9827,9431,6836,11991,12607,12999,13039,6708,12295,13111,13799,13967,node1
16,10178,10178,10111,6892,12055,12671,13703,13783,6836,12471,13271,14311,14423,node1
17,9599,9599,9553,6992,12431,13239,14431,14807,6636,12375,13063,14111,14719,node1
18,9912,9912,10332,6916,12415,13095,14135,14543,6928,12671,13391,14823,15007,node1
19,9325,9325,9827,6972,12087,13287,14519,14551,6664,12399,13383,15175,15695,node1
20,9740,9740,9332,6904,12319,12943,14975,15391,7000,12295,13255,15495,16119,node1
21,9759,9759,10033,6960,12119,13191,14919,15359,6948,12039,13359,15383,15879,node1
22,8830,8830,8663,7468,12151,13055,14991,15399,7300,12431,13095,15239,15807,node1
23,9776,9776,9781,7616,12407,13663,14951,15447,7568,12471,13447,15271,15687,node1
24,9417,9417,9634,7284,12287,13039,14975,15335,6992,12391,13311,15487,15575,node1
25,7708,7708,7510,7364,12439,13607,15431,15487,7788,12607,13455,15031,15663,node1
26,9224,9224,9361,7924,12719,13591,15295,15703,7956,12735,13847,15583,16071,node1
27,8485,8485,8564,7684,12775,13735,15375,15823,7340,13015,14095,15823,15991,node1
28,9898,9898,9644,7688,12799,13791,15431,15743,7888,13095,13799,15455,16039,node1
29,9363,9363,9095,8088,12911,13655,15431,15839,8088,13015,14063,15327,15751,node1
30,9274,9274,9555,7584,12703,13719,15519,15927,7372,13119,14239,16023,16319,node1
31,9070,9070,9276,7700,12903,14143,15959,15999,7720,13143,13951,15895,16343,node1
32,8974,8974,8803,7708,12999,14111,15983,16447,7732,12943,14095,15815,16183,node1
33,9259,9259,9027,7552,13015,13943,15751,16103,8020,13575,14375,16167,16623,node1
34,8996,8996,9041,7548,12959,14367,15783,16151,7768,13231,14503,16047,16511,node1
35,9328,9328,9532,7872,12487,13471,15759,15783,7648,12935,14199,16071,16367,node1
36,8628,8628,8530,7492,12983,14727,16207,16271,7608,13175,15167,16223,16287,node1
37,7863,7863,8261,7928,12679,13959,15807,15879,7608,13063,14423,16111,16167,node1
38,9428,9428,8758,7744,13151,14895,16159,16431,7508,13615,14735,16671,16719,node1
39,8569,8569,8864,7740,13039,14391,16319,16735,7924,13199,14839,16543,17055,node1
40,8740,8740,9136,7712,12959,13967,16319,16655,7708,13327,14295,16399,16927,node1
41,9345,9345,8997,8072,13399,15223,16207,16655,7736,12999,14535,16295,16375,node1
42,8255,8255,8713,8200,13279,14375,15759,16191,8072,13751,15431,16255,16751,node1
43,9353,9353,9005,8208,12703,14359,16167,16191,7988,13343,14983,16111,16447,node1
44,8923,8923,9056,8188,13511,14767,16167,16215,7904,13591,14687,16111,16511,node1
45,9333,9333,9106,7596,13071,14831,15719,16591,7648,13431,14919,15767,15919,node1
46,8657,8657,8762,8044,13023,13967,16159,16159,8000,13319,14399,16231,16655,node1
47,9400,9400,8905,8896,13143,14471,15775,16639,8776,13743,15255,16295,16687,node1
48,8793,8793,9365,9800,13159,14495,16231,16607,9872,14055,15167,16111,17135,node1
49,8606,8606,8985,10624,13559,14927,16183,16623,10664,13735,15343,16399,16847,node1
50,9271,9271,8478,10888,14079,15415,15887,16295,10704,14367,15423,16751,16863,node1
51,8949,8949,9033,10424,13063,14943,16279,16287,10504,13935,15399,16279,16863,node1
52,9302,9302,9131,10776,13927,15375,15855,16247,10520,13687,15663,16575,16655,node1
53,8622,8622,8904,10912,13471,14823,16295,16319,10872,13967,15071,16039,16463,node1
54,8591,8591,8895,10848,13559,14887,15759,16151,10800,13687,14631,15823,16063,node1
55,8445,8445,8767,11048,14047,14967,15831,15887,10888,14359,15047,16359,16431,node1
56,9763,9763,8705,11096,14175,14639,15951,16367,10808,13887,15319,16895,17039,node1
57,8998,8998,9779,11008,13655,14519,16359,16751,10568,13991,14455,16671,17263,node1
58,9032,9032,9070,10616,13631,14519,16295,16383,10960,14071,15063,16575,16719,node1
59,8492,8492,8463,11432,13991,14639,15943,16415,11448,14023,14655,16119,16975,node1
60,9458,9458,9248,11496,13751,15047,16415,16431,11256,14007,14863,17103,17455,node1
61,8225,8225,8528,11472,13695,14191,16495,16863,11296,13639,14943,16911,17343,node1
62,9349,9349,8819,11528,13751,14655,16543,16975,11440,13687,14383,16687,17183,node1
63,9009,9009,9102,11832,13775,15023,16063,16447,11528,13903,14791,16207,16687,node1
64,8725,8725,8895,11432,13775,14511,16167,16511,11896,13927,14583,16239,16623,node1
65,9031,9031,8828,11528,13407,14495,16095,16543,11440,13751,14535,16671,17167,node1
66,9188,9188,9252,11752,13551,14727,16463,16511,11640,13615,15023,16895,17279,node1
67,8565,8565,8524,11384,13991,14703,16103,16527,11224,13983,14767,16735,16847,node1
68,9243,9243,9102,11392,13391,15031,16495,16959,11512,13511,15159,16623,16863,node1
69,8055,8055,8146,11056,13319,15103,16527,16623,11584,13751,15183,16087,16847,node1
70,9215,9215,9080,11368,13599,15327,16095,16479,11440,13631,14559,16279,16671,node1
71,10525,10525,10464,11288,13135,14847,15895,16287,11232,13527,15111,16015,16399,node1
72,9182,9182,9838,11200,13503,14551,15783,16055,11056,13455,15151,16111,16511,node1
73,9446,9446,8953,10736,13615,15007,15839,16231,10440,13423,14847,16103,16359,node1
74,9646,9646,9380,11120,13063,14639,15319,16231,10920,13119,15167,15615,15951,node1
75,8653,8653,8294,11320,13335,14791,15783,16207,11208,13415,15063,16287,16735,node1
76,9830,9830,10397,11336,13471,15151,15911,16103,11520,13391,14727,16367,16591,node1
77,9463,9463,9410,11056,13103,14487,16047,16447,11040,13183,14743,15927,16463,node1
78,8533,8533,8797,11328,13535,14455,15983,16023,10928,13439,14447,15847,16271,node1
79,9022,9022,8502,11360,13279,14775,15799,16071,11568,13647,14879,15599,15831,node1
80,8819,8819,9078,11408,13527,14527,15623,15975,11992,13295,15167,16191,16655,node1
81,9099,9099,9396,11224,13183,14247,15615,16023,10632,13751,14671,16231,16655,node1
82,9101,9101,9139,11008,13079,14839,16039,16111,11024,13023,13759,16415,16831,node1
83,8857,8857,8393,11184,13503,14375,16007,16039,11016,13423,14391,16311,16383,node1
84,9467,9467,9620,11512,13159,14759,15959,16431,11296,13911,14495,16287,16639,node1
85,8635,8635,9086,11464,13351,14415,15847,16415,11672,13279,14855,15583,16071,node1
86,9303,9303,8966,11552,13335,14199,15543,15743,11328,13567,14239,15831,16015,node1
87,8823,8823,9177,11832,13295,14471,15983,16415,11392,13687,14455,15847,16247,node1
88,9370,9370,9032,11696,13831,14647,15679,16111,11560,13471,15207,16359,16639,node1
89,8874,8874,9091,11648,13343,14695,15967,16415,11480,13887,15159,16495,16927,node1
90,9631,9631,9429,11184,13447,15055,15975,16079,11264,13807,14759,16087,16511,node1
91,8812,8812,8956,11544,13799,14751,15879,16431,11144,13575,15287,16399,16559,node1
92,9053,9053,9159,11152,13551,14311,16415,16575,11104,14015,14791,16943,17375,node1
93,8736,8736,8436,11608,13431,15247,16175,16879,11232,13911,15711,16639,17183,node1
94,8862,8862,9087,11400,13863,14767,16183,16623,11312,13719,15471,16735,17071,node1
95,9093,9093,8870,11504,13799,15143,16559,16575,11192,14103,14679,17103,17551,node1
96,9350,9350,9319,11192,13791,14783,16151,17023,11560,13439,15255,16463,16847,node1
97,9282,9282,9732,11128,13783,14679,16479,16495,10992,13847,15191,16879,17311,node1
98,7090,7090,6673,11400,13983,15303,16591,16895,10928,13959,15519,16383,16671,node1
99,7993,7993,8293,11504,14079,15463,16719,16767,11032,13607,15247,16495,16911,node1
100,8154,8154,7944,11368,14071,15527,16511,16815,11544,14007,15743,17135,17407,node1
101,8365,8365,8560,11616,14759,15247,17023,17455,11504,14551,15967,16703,17951,node1
102,8957,8957,8757,11616,14375,15695,16639,17007,11856,14847,15823,17391,17615,node1
103,8869,8869,8969,11536,14327,15671,17023,17055,11304,14343,15919,17119,17535,node1
104,8955,8955,8879,11560,14791,15279,17071,17087,11776,14711,15423,17183,17567,node1
105,8426,8426,8490,12176,14463,15775,17071,17519,12264,15095,15871,16831,17327,node1
106,9099,9099,8913,12184,14903,15831,17103,17119,11880,14375,16103,16959,17263,node1
107,8836,8836,8803,12256,14511,15399,16703,17151,12024,14927,15567,16607,17135,node1
108,8873,8873,9177,12000,14431,15775,16719,17151,11928,14607,15759,16639,16975,node1
109,8942,8942,8840,12232,15295,15791,17151,17167,11824,14735,16367,17343,17487,node1
110,8235,8235,8246,12080,14535,15807,16703,17599,12200,15007,15695,16863,17359,node1
111,9462,9462,9209,11984,14399,15855,16799,17199,11536,14511,15959,16847,17215,node1
112,8496,8496,8743,11896,14951,15799,16783,17199,11440,14847,16167,16623,17087,node1
113,8588,8588,8803,11808,14343,15903,16751,16799,11816,14735,15735,16815,17007,node1
114,9180,9180,9083,11816,14215,15671,17199,17263,12000,14087,15807,16895,17135,node1
115,9794,9794,9068,11776,14567,15471,16527,17055,11928,14175,15623,16655,16895,node1
116,8756,8756,9541,12144,14007,15351,16863,16927,11504,14199,15311,16575,16895,node1
117,8220,8220,8240,11720,14471,15415,16335,16847,11440,14591,15335,16767,17247,node1
118,8250,8250,8466,11760,14527,15863,16751,16799,11864,14631,15615,16447,16671,node1
119,9322,9322,8793,11840,14055,15447,16815,17231,11872,14111,15223,16959,17391,node1
120,9279,9279,9140,11824,14479,14943,16799,17199,12112,13655,15431,17231,17615,node1
121,8605,8605,8816,11864,14479,15439,16343,17295,11864,14359,15719,16735,17519,node1
122,8318,8318,8701,12240,14911,15863,16799,16799,11952,14263,16167,17071,17311,node1
123,8676,8676,8574,12248,14575,15087,16783,17263,12328,14887,15527,16639,17071,node1
124,8396,8396,8322,12288,14111,15967,17279,17295,12048,14263,15727,17247,17423,node1
125,8026,8027,7967,12336,14599,15519,16895,16943,12280,14615,15479,16943,17439,node1
126,8978,8977,8917,12384,14271,15983,16975,17023,12416,15063,15831,17263,17375,node1
127,8926,8926,8870,12376,14231,16055,16911,16975,12592,14415,16159,17231,17375,node1
128,8793,8793,8991,12480,14695,15607,16527,17007,12872,14927,15463,17167,17231,node1
129,8602,8602,8515,12560,14343,16103,17023,17039,12256,14351,16007,17119,17231,node1
130,8090,8090,7243,12568,14487,15791,16687,17135,12576,14735,15863,16927,17327,node1
131,9981,9981,10525,12400,14807,15735,17007,17055,12088,15287,16023,16783,17135,node1
132,9803,9803,9659,11928,14671,15735,16591,17023,12168,14703,15967,16655,16911,node1
133,9005,9005,9627,12328,14999,15631,16591,17087,11968,14487,15703,17103,17599,node1
134,9723,9723,9227,12248,14183,15111,16911,17007,12360,14735,15519,17103,17775,node1
135,9345,9345,9086,12200,14143,15863,16959,17375,11672,14383,15951,16911,17311,node1
136,9532,9532,9576,11760,14767,15383,16783,16863,12144,14863,15935,16639,17247,node1
137,9662,9662,9674,11848,13975,15271,16799,17247,11864,14591,15583,16751,17087,node1
138,8889,8889,9598,12000,13799,15383,16767,17215,12264,13783,14551,16495,16927,node1
139,9912,9912,9183,11696,14503,15335,16703,16767,11608,13695,15263,17295,17711,node1
