TimeElapsed (s),MessageSentCount,MessageSentThroughput (KB/s),MessageReceivedCount,PublishLatencyMinValue (ms),PublishLatencyValueAtPercentile50 (ms),PublishLatencyValueAtPercentile75 (ms),PublishLatencyValueAtPercentile95 (ms),PublishLatencyValueAtPercentile99 (ms),EndToEndLatencyMinValue (ms),EndToEndLatencyValueAtPercentile50 (ms),EndToEndLatencyValueAtPercentile75 (ms),EndToEndLatencyValueAtPercentile95 (ms),EndToEndLatencyValueAtPercentile99 (ms),masternode
1,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,3476,3476,5788,14,828,1100,1311,1381,521,1244,1626,1943,1990,node1
3,8799,8799,8165,1392,1855,1975,2145,2249,2004,2523,2641,2859,2903,node1
4,7154,7154,6837,2108,2643,2911,3069,3113,2908,3467,3685,3877,3903,node1
5,8003,8003,7758,2952,3465,3685,3815,3839,3920,4363,4411,4615,4639,node1
6,7834,7834,7914,3672,4411,4875,4967,5043,4060,5183,5591,5923,6007,node1
7,7171,7171,7675,4948,5467,5751,5979,6003,5056,6067,6367,6839,6867,node1
8,7736,7736,7872,5984,6487,6643,6823,6923,5992,6603,6787,7427,7439,node1
9,7359,7359,7076,6612,7223,7459,7723,7791,6884,7435,7691,7855,7975,node1
10,8273,8273,7682,7664,8271,8431,8839,8887,7876,8407,8759,8951,8967,node1
11,6644,6645,7366,8392,9439,9583,10023,10047,8280,9535,9879,10111,10159,node1
12,7351,7350,7360,8952,10239,10631,10791,10863,9472,10583,10775,11007,11087,node1
13,7267,7267,6979,9144,11207,11303,11727,11767,9232,11399,11727,11887,11911,node1
14,8454,8454,8034,9112,11823,12151,12303,12415,9944,12215,12479,12647,12671,node1
15,8528,8528,10083,9560,12695,12927,13215,13303,9424,13015,13247,13471,13503,node1
16,10303,10303,10232,9616,13327,13711,14095,14199,9232,13743,14119,14423,14551,node1
17,8527,8527,8888,9608,14439,14855,15039,15287,9608,14751,15239,15535,15559,node1
18,9640,9640,9263,9960,15255,15647,15871,16151,9984,15415,15983,16343,16447,node1
