TimeElapsed (s),MessageSentCount,MessageSentThroughput (KB/s),MessageReceivedCount,PublishLatencyMinValue (ms),PublishLatencyValueAtPercentile50 (ms),PublishLatencyValueAtPercentile75 (ms),PublishLatencyValueAtPercentile95 (ms),PublishLatencyValueAtPercentile99 (ms),EndToEndLatencyMinValue (ms),EndToEndLatencyValueAtPercentile50 (ms),EndToEndLatencyValueAtPercentile75 (ms),EndToEndLatencyValueAtPercentile95 (ms),EndToEndLatencyValueAtPercentile99 (ms)
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7310,7310,8174,7,338,517,676,702,451,823,1010,1189,1219
3,9474,9474,10050,602,1070,1267,1490,1550,1229,1706,1979,2177,2217
4,10077,10077,9632,1408,1909,2149,2363,2385,2228,2707,2967,3167,3213
5,9291,9291,9556,2322,2867,3073,3291,3323,3228,3703,3977,4179,4219
6,9624,9624,9745,3302,3711,3941,4155,4183,3374,4371,4767,5147,5195
7,10175,10175,9572,4156,4731,4951,5139,5171,4228,5003,5415,5855,6127
8,9160,9160,9408,5024,5523,5763,5995,6039,5136,5731,5983,6183,6223
9,9392,9392,9361,5304,6187,6435,6799,7011,5224,6599,6899,7155,7211
10,10087,10087,9903,5388,6287,6727,7171,7399,5364,6803,7127,7547,7755
11,9492,9492,9947,5400,6463,6943,7583,7779,5408,6799,7407,7951,8131
12,10432,10432,9965,5372,6275,6727,7763,7847,5512,6711,7347,8011,8239
13,9256,9256,10106,5632,6163,6863,7815,8027,5636,6727,7315,8431,8655
14,10108,10108,9317,5356,6287,6943,8007,8035,5512,6739,7611,8767,8959
15,10038,10038,10226,5240,6187,6951,8011,8063,5384,6679,7303,8247,8487
16,9465,9465,9512,5116,6283,6807,8011,8179,5228,6883,7367,8631,8911
17,10176,10176,9793,5276,6343,6771,7959,8111,5376,6571,7179,8423,8623
18,9532,9532,10128,5264,6199,6663,7887,8115,5472,6551,7111,8727,8935
19,9544,9544,9391,5336,6267,6843,7723,7871,5324,6747,7443,8399,8647
20,10144,10144,9997,5448,6447,6943,7967,8011,5548,6823,7423,8159,8415
21,9082,9082,9609,5368,6267,6911,7755,7971,5408,6643,7539,8503,8727
22,10136,10136,9849,5508,6523,6903,7971,8027,5388,6939,7579,8239,8463
23,9662,9662,9130,5340,6403,6895,8147,8207,5340,7031,7595,8663,8855
24,9575,9575,9543,5412,6423,6907,7823,8043,5176,6955,7403,8327,8575
25,9572,9572,10023,5280,6563,6971,8043,8111,5236,6879,7455,8895,9103
26,9472,9472,9368,5076,6651,6979,8239,8295,5148,7031,7615,8679,9247
27,9542,9542,9675,5076,6639,6859,8047,8231,5260,7079,7519,8855,9119
28,9623,9623,9596,5084,6663,6919,7891,8071,5200,6987,7539,8519,8719
29,6774,6774,6919,5152,6883,7167,8367,8391,5376,7223,7839,8471,8663
30,10294,10294,10166,5472,6883,7199,8279,8431,5548,7291,7771,8759,8951
31,9902,9902,9721,5436,6935,7319,8127,8351,5244,7519,7951,8487,8639
32,9351,9351,9594,5632,6955,7515,8335,8527,5808,7275,7963,8919,9095
33,10007,10007,9647,5656,7075,7591,8147,8343,5500,7187,7823,8463,8671
34,9426,9426,9846,5552,7123,7559,8247,8303,5216,7435,7995,8647,8839
35,9569,9569,9514,5132,6983,7567,8287,8511,5300,7467,8087,8759,9047
36,9623,9623,9718,5264,6771,7519,8311,8487,5332,7067,7767,8695,8911
37,10317,10317,9753,5384,6655,7099,8139,8343,5128,6963,7571,8503,8703
38,9306,9306,9813,5312,6715,7143,8067,8271,5344,7135,7647,8959,9175
39,9810,9810,9969,5340,6683,7335,8223,8439,5172,7147,7835,8783,8999
40,10481,10481,10163,5164,6855,7339,8199,8247,5360,7299,7835,8391,8535
41,9943,9943,10065,5328,6679,7123,8351,8399,5424,6891,7599,8703,8975
42,10145,10145,10109,5116,6667,7107,8175,8263,5216,6903,7523,8903,9151
43,9863,9863,9768,5036,6843,7299,8199,8407,5092,6919,7767,8799,8959
44,9838,9838,9626,5252,6831,7251,8199,8367,5292,7111,7867,8943,9119
45,9982,9982,10040,5268,6643,7239,8187,8455,5392,7015,7599,8983,9279
46,9711,9711,9829,5280,6751,7191,7963,8155,5300,6939,7419,8487,8639
47,9760,9760,10104,5464,6835,7467,8115,8155,5608,7067,7919,8727,9015
48,9701,9701,9474,5276,6839,7243,7923,8115,5148,7067,7739,8335,8663
