time: 58s; Messages sent: 7577; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 59s; Messages sent: 6954; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 60s; Messages sent: 6750; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 61s; Messages sent: 5930; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 62s; Messages sent: 7329; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 63s; Messages sent: 6616; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 64s; Messages sent: 7997; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 65s; Messages sent: 6302; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 66s; Messages sent: 6281; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 67s; Messages sent: 7542; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 68s; Messages sent: 7237; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 69s; Messages sent: 5597; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 70s; Messages sent: 6993; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 71s; Messages sent: 7129; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 72s; Messages sent: 6514; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 73s; Messages sent: 6492; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 74s; Messages sent: 5878; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 75s; Messages sent: 5838; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 76s; Messages sent: 8023; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 77s; Messages sent: 6251; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 78s; Messages sent: 7126; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 79s; Messages sent: 5229; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 80s; Messages sent: 6942; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 81s; Messages sent: 6544; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 82s; Messages sent: 6411; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 83s; Messages sent: 6160; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 84s; Messages sent: 6587; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 85s; Messages sent: 6663; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 86s; Messages sent: 6264; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 87s; Messages sent: 7223; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 88s; Messages sent: 7993; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 89s; Messages sent: 4784; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 90s; Messages sent: 7917; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 91s; Messages sent: 7262; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 92s; Messages sent: 6572; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 93s; Messages sent: 5943; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 94s; Messages sent: 6719; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 95s; Messages sent: 6631; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 96s; Messages sent: 7952; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 97s; Messages sent: 5804; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 98s; Messages sent: 5800; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 99s; Messages sent: 6339; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 100s; Messages sent: 5061; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 101s; Messages sent: 7692; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 102s; Messages sent: 5975; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 103s; Messages sent: 7439; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 104s; Messages sent: 5437; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 105s; Messages sent: 7800; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
