TimeElapsed (s),MessageSentCount,MessageSentThroughput (KB/s),MessageReceivedCount,PublishLatencyMinValue (ms),PublishLatencyValueAtPercentile50 (ms),PublishLatencyValueAtPercentile75 (ms),PublishLatencyValueAtPercentile95 (ms),PublishLatencyValueAtPercentile99 (ms),EndToEndLatencyMinValue (ms),EndToEndLatencyValueAtPercentile50 (ms),EndToEndLatencyValueAtPercentile75 (ms),EndToEndLatencyValueAtPercentile95 (ms),EndToEndLatencyValueAtPercentile99 (ms),masternode
1,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,3393,3393,6840,44,699,1049,1156,1200,488,884,1484,1762,1797,node0
3,5670,5670,5653,1271,1590,1664,1796,1857,1862,2277,2361,2465,2495,node0
4,9183,9183,8650,1848,2405,2697,2987,3097,2502,3187,3539,3765,3843,node0
5,8612,8612,8792,3026,3507,3745,3981,4013,3448,4247,4591,4803,4887,node0
6,8393,8393,8456,3610,4395,4759,5063,5083,3912,5059,5515,5799,5967,node0
7,8339,8339,8834,4960,5483,5671,6003,6035,5084,5999,6519,6995,7015,node0
8,8286,8286,8103,5800,6383,6595,6871,6939,5548,6539,6835,7395,7491,node0
9,8088,8088,8213,5272,7235,7439,7735,7739,6012,7355,7531,7799,7815,node0
10,7703,7703,7743,6248,8239,8359,8767,8839,6828,8383,8711,8919,8967,node0
11,8630,8630,8584,7212,9175,9327,9671,9703,7992,9391,9703,9847,9879,node0
12,8293,8293,8167,8168,10103,10255,10719,10879,8960,10295,10647,10887,10959,node0
13,8330,8330,8376,9616,10999,11231,11535,11711,9296,11271,11623,11807,11839,node0
14,7810,7810,7609,10088,11935,12183,12559,12631,9968,12271,12615,12815,12863,node0
15,9855,9855,9429,10968,12751,13103,13487,13623,11200,13151,13543,13807,13887,node0
16,8547,8547,8222,11624,13847,14199,14519,14591,11600,14231,14599,15023,15063,node0
17,7871,7871,8271,11632,14895,15199,15567,15599,12072,15343,15559,16007,16047,node0
18,8138,8138,8087,11736,15447,16023,16543,16575,11640,16095,16559,16911,16959,node0
19,8034,8034,8371,11736,16367,16943,17551,17583,11808,16975,17455,17711,17887,node0
20,8030,8030,8262,12208,17023,17567,18111,18559,11672,17471,18095,18639,18799,node0
21,7473,7473,7110,11840,17439,18559,19135,19151,12136,18159,18895,19583,19615,node0
22,7251,7251,7620,11824,17663,18479,19631,20095,11920,17231,18975,20143,20607,node0
23,7597,7597,7735,12312,17183,19071,20719,20799,11720,17727,18223,21247,21263,node0
24,7268,7268,6653,12128,17935,18863,21311,21807,12376,18367,19167,21855,22479,node0
25,7646,7646,8001,12712,18095,19071,22367,22863,12512,18495,19503,21535,23087,node0
