TimeElapsed (s),MessageSentCount,MessageSentThroughput (KB/s),MessageReceivedCount,PublishLatencyMinValue (ms),PublishLatencyValueAtPercentile50 (ms),PublishLatencyValueAtPercentile75 (ms),PublishLatencyValueAtPercentile95 (ms),PublishLatencyValueAtPercentile99 (ms),EndToEndLatencyMinValue (ms),EndToEndLatencyValueAtPercentile50 (ms),EndToEndLatencyValueAtPercentile75 (ms),EndToEndLatencyValueAtPercentile95 (ms),EndToEndLatencyValueAtPercentile99 (ms),masternode
1,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,6383,6383,8080,55,573,797,921,960,604,1226,1466,1694,1747,node2
3,10551,10551,10998,969,1495,1765,1935,2022,1764,2287,2531,2775,2847,node2
4,10256,10256,10472,1956,2459,2707,2855,2905,2640,3345,3607,3801,3835,node2
5,11348,11348,11230,2898,3279,3537,3825,3857,2850,3851,4159,4491,4735,node2
6,10562,10562,10699,3756,4211,4439,4607,4631,3824,4335,4635,4819,4987,node2
7,9683,9683,9909,4648,5075,5311,5483,5563,4820,5291,5475,5679,5739,node2
8,10225,10225,9847,5548,6043,6223,6451,6487,5756,6243,6431,6647,6691,node2
9,9356,9356,9566,6340,7007,7251,7547,7603,6692,7247,7527,7791,7847,node2
10,9075,9075,9022,7508,8031,8255,8487,8519,7860,8319,8535,8751,8775,node2
11,9497,9497,9899,8272,8951,9151,9399,9455,8776,9279,9567,9703,9735,node2
12,9470,9470,9484,9272,9839,10031,10255,10303,9744,10223,10463,10639,10647,node2
13,9387,9387,9039,10128,10767,11135,11343,11551,10112,11223,11495,11783,11831,node2
14,9828,9828,9503,10352,11831,12007,12367,12399,10760,12287,12551,12831,12855,node2
15,9407,9407,10177,10368,12455,12791,13119,13175,10592,13079,13343,13655,13671,node2
16,9962,9962,10206,10440,13199,13631,13999,14087,10800,13607,14079,14551,14687,node2
17,9353,9353,8829,10504,13663,14311,14799,14943,10288,14087,14695,15175,15575,node2
18,9924,9924,9421,10864,13647,14583,15343,15751,10928,14055,14767,15919,16335,node2
19,9627,9627,9742,10904,14143,14727,15455,15831,11320,14007,15127,16239,16527,node2
20,9166,9166,9364,10520,14199,14807,15519,15575,10192,14295,15119,16399,16735,node2
21,9612,9612,9775,10872,13959,15343,15927,16359,10784,14511,15335,16119,16943,node2
22,9616,9616,9395,10480,14639,15063,15975,16399,10912,14983,15487,16399,16831,node2
23,10065,10065,9883,10864,14207,15047,15991,16239,11136,14303,15351,16311,16639,node2
24,9680,9680,9943,10832,14215,15055,16415,16799,10960,14199,15215,16295,17023,node2
25,9445,9445,9780,11248,14167,15023,16239,16831,11648,14303,15431,16815,17311,node2
26,10488,10488,9976,10472,13879,15287,16311,16719,11088,14183,15159,16959,17503,node2
27,8993,8993,9178,10880,14071,14895,16215,16335,11336,14439,15159,16175,16719,node2
28,10134,10134,10276,10864,14063,14831,15911,16327,11184,14303,15351,16191,16671,node2
29,10117,10117,9787,10784,13639,15119,15799,16671,11000,14239,15079,16559,16751,node2
30,9523,9523,10265,10880,14015,14695,16239,16639,10696,13631,15031,16735,17311,node2
31,9492,9492,9070,10872,14023,14663,16247,16703,10968,13999,14951,16895,17503,node2
32,9677,9677,9350,10800,13727,14879,15839,16119,10904,14287,14871,16431,16815,node2
33,9790,9790,9960,11248,13903,14839,16231,16255,11584,14487,15207,16239,16671,node2
34,9698,9698,10281,10464,14007,14631,15639,16639,11040,13951,15111,15639,15943,node2
35,9904,9904,9706,10856,13703,14823,16079,16175,10728,14263,14815,16263,16359,node2
36,10118,10118,9574,10920,13791,14791,15823,16271,10952,14351,15079,16287,16703,node2
37,9414,9414,9580,10888,13751,14607,15455,16591,10920,13783,14959,15647,15871,node2
38,8680,8680,9026,11408,14055,14903,16087,16319,10696,14191,14703,16079,16319,node2
39,10249,10249,9702,10856,13623,14791,15847,16263,10944,13679,15007,16175,16591,node2
40,9921,9921,10637,10944,14031,14567,15807,16119,11376,14103,15119,16495,16751,node2
41,9987,9987,9500,11296,13895,14655,16239,16623,11576,13975,14831,16479,17231,node2
42,8793,8794,9091,11360,13847,14975,16255,16703,11496,14111,15151,17023,17455,node2
43,9534,9533,9584,11048,13951,14647,16023,16431,10984,14007,15151,16111,16495,node2
44,9738,9738,9195,11472,13871,14647,15919,16047,11248,14247,14703,16479,16719,node2
45,9677,9677,9111,11048,13663,14751,16479,16879,11056,13863,15231,16879,17343,node2
46,9737,9737,10732,11096,14127,14743,16271,16511,11312,13879,15023,16127,16543,node2
47,8248,8248,8279,10800,13943,15079,16023,16959,11288,14215,14679,16351,16575,node2
48,9216,9216,9458,11032,14239,15175,16415,16751,11600,14575,15231,16831,17263,node2
49,10138,10138,9469,11056,14319,15143,16447,16783,11368,14943,15783,17007,17455,node2
50,9785,9785,10114,11144,14319,15127,16239,16623,11272,14279,15175,16719,16767,node2
51,9378,9378,8780,10664,14263,15039,15783,16271,11208,14391,15175,16431,17039,node2
52,9795,9795,10664,11184,14207,14895,16687,17183,10992,14599,15495,16783,17215,node2
53,9516,9516,8849,11152,14199,14967,16319,16767,10752,14447,15119,16959,17471,node2
54,9615,9615,9654,10784,14487,15119,16295,17135,11096,14367,15247,16399,16815,node2
55,9843,9843,10101,10800,14247,15079,16415,16671,10392,14167,15527,16639,17087,node2
56,8007,8007,8396,11264,14367,15399,16559,16991,11216,14623,15055,17071,17519,node2
57,9571,9571,9594,11264,13911,15199,16543,16943,11600,14119,15431,17439,17839,node2
58,9992,9992,9585,11120,13943,14711,16479,17311,11464,14231,15127,16527,16975,node2
59,9967,9967,10126,11280,14295,15095,16943,17295,11336,14439,15063,16575,17167,node2
60,9938,9938,9705,11248,14367,15175,16479,16895,11176,14375,15319,17055,17727,node2
61,9415,9415,9631,11624,13759,14615,15983,16375,11528,13951,15103,16559,16943,node2
62,10134,10134,9632,11280,14103,14831,16767,17167,11320,14295,15111,16799,17359,node2
63,9285,9285,9774,11072,14519,15031,16767,17199,10616,14471,15407,16895,17311,node2
64,9561,9561,9091,10752,14135,14607,16207,16671,10840,13999,14991,17455,17871,node2
65,9584,9584,9933,11136,14239,15039,17039,17455,11064,14143,15151,16447,18223,node2
66,9288,9288,9657,11160,14151,14935,16719,17199,10584,14431,15119,17151,17551,node2
67,10172,10172,9494,10600,14095,14935,16327,16735,10408,14271,15063,17135,17839,node2
68,9091,9091,9816,11080,14239,15439,16719,17183,10696,14279,15271,16767,16911,node2
69,9218,9218,8407,11096,14319,15095,17119,17535,11072,14559,15471,17151,17311,node2
70,9844,9844,10045,10672,13959,15119,16655,17071,11056,14087,15407,16847,17199,node2
71,9870,9870,10069,10976,14119,15319,16655,17087,11200,14479,15511,17375,17743,node2
72,10043,10043,9503,10992,14079,14951,16527,17519,11088,14439,15447,16751,17919,node2
73,9528,9528,9955,11016,14431,14863,16111,16991,10728,14463,15351,16223,16879,node2
74,10070,10070,9608,11008,14439,15303,16543,16959,10632,14711,15367,16639,16991,node2
75,9448,9448,9976,10624,14055,15247,16543,16927,10992,14415,15439,17279,17631,node2
76,9978,9978,10364,11336,14039,14831,16431,17279,10296,14199,15351,17183,17663,node2
77,9611,9611,9420,10560,14079,15223,16527,16911,10656,14239,15407,16559,17679,node2
78,8920,8920,8775,11000,14439,14959,16183,17343,11480,14463,15415,16911,17119,node2
79,9883,9883,9080,11024,14127,15311,17023,17407,11368,14431,15391,17407,17855,node2
80,9508,9508,10325,10992,14503,14975,16263,16687,11200,14159,15151,16375,16783,node2
81,8936,8936,9183,11360,14399,15071,16287,17071,11472,14399,15335,16447,17071,node2
82,9163,9163,9054,11448,14159,15063,16719,17151,11392,14511,15335,16943,17471,node2
83,9769,9769,10124,11920,14503,15871,16687,16719,11216,14247,15463,17423,17519,node2
84,9338,9338,8660,11224,13991,15423,16751,17119,11104,14439,15671,17279,17791,node2
85,8644,8644,9176,11216,14303,15015,17183,17535,11024,14487,15455,16783,18431,node2
86,10158,10158,9994,11608,14327,15519,16735,17119,11256,14535,16015,17343,17695,node2
87,9578,9578,9077,11576,14175,15487,17087,17519,11736,14615,15703,17471,17695,node2
88,10108,10108,10147,11592,14343,15335,17055,17551,11752,14559,15399,17391,17903,node2
89,9516,9516,10012,11592,14095,15463,16367,17471,11568,14239,15263,16591,18223,node2
90,9775,9775,9149,11112,14335,15183,16735,17151,11480,14511,15287,17023,17535,node2
91,9273,9273,9957,11592,13991,15287,16751,17151,11744,14271,15663,17567,17647,node2
92,9122,9122,8966,11112,14279,15663,17199,17583,11216,14367,15735,16847,18063,node2
93,10224,10224,10048,11008,14727,15743,17151,17183,11008,14535,16111,17247,17647,node2
94,9629,9629,9457,11440,14327,14983,16735,17567,11224,14903,15479,17343,17535,node2
95,9099,9100,8999,11000,14727,15615,17151,17583,11120,14759,15671,16687,18095,node2
96,9488,9487,9976,11376,14695,15303,17167,17583,11416,14759,15727,16959,17263,node2
97,9573,9573,9014,11864,14279,15543,16655,16719,12040,14343,15319,17231,17519,node2
98,8395,8395,9011,11496,14711,15687,16479,17183,11192,14807,15791,16479,17839,node2
99,10462,10462,10329,11488,14215,15303,16671,17087,11816,14583,15471,16863,17039,node2
100,9963,9963,9221,11064,14159,15175,16735,16991,11240,14391,15327,16735,17343,node2
101,9775,9775,10513,11400,14167,15391,16575,16943,11784,14647,15759,17151,17327,node2
102,9800,9800,9537,10960,14575,15767,16511,16895,10696,14783,16087,17375,17775,node2
103,10355,10355,10915,10944,14191,15023,16895,17295,10912,14607,15247,16655,18191,node2
104,9499,9499,9322,11328,14159,15415,16975,17359,11648,14407,15391,17007,17519,node2
105,10612,10612,10054,11344,14143,15423,16447,16911,11680,14327,15623,17215,17727,node2
106,9481,9481,9789,11336,14055,14903,15983,16367,11816,14439,15407,16231,16655,node2
107,10187,10187,9963,11664,14071,15135,16751,17167,11672,14439,15495,16463,17055,node2
108,9509,9509,9704,11256,14079,15279,16687,16719,11464,14503,15815,17103,17551,node2
109,9313,9313,9685,11136,14391,15071,16263,16719,11320,14367,15615,17231,17807,node2
110,10081,10081,10108,11120,13935,15447,16543,17103,11120,14119,15479,16879,17375,node2
111,9362,9362,9037,11544,14335,15231,16719,17135,11848,14327,15855,17119,17439,node2
112,9060,9060,9655,11248,14031,15175,16639,16767,12032,14455,15503,17215,17599,node2
113,10221,10221,9436,11376,14295,15015,16719,17167,11784,14575,15439,16375,16767,node2
114,9718,9718,9263,11768,14359,15111,16247,17167,11992,14391,15383,16591,17007,node2
115,9867,9867,10751,11736,13951,15191,16687,17135,11704,14239,15231,17103,17519,node2
116,8935,8935,8935,11296,14279,15359,16815,17503,11616,14415,15463,17215,17823,node2
117,7856,7856,7815,11616,14295,15431,17023,17855,11656,14871,15823,17519,18287,node2
118,9590,9590,9020,12048,14703,15663,17439,17791,11520,14743,15983,17951,18495,node2
119,9933,9933,9955,11616,14887,15703,17359,17759,11712,14991,15743,17087,17759,node2
120,10819,10819,10942,11992,14447,15391,16975,17407,12072,15127,15943,17327,17743,node2
121,9701,9701,9416,11560,14591,15703,16991,17791,11768,14975,15991,17231,17871,node2
122,9654,9654,10035,11528,14999,15511,16959,17727,11616,14727,15695,17647,17839,node2
123,9883,9883,10046,11568,14199,15031,17391,17823,11480,14487,15599,16799,18495,node2
124,10361,10361,9814,11568,14527,15783,17023,17039,11320,14495,16159,17391,17727,node2
125,9105,9105,9758,11560,14127,15439,17471,17871,11872,14559,16127,17583,18191,node2
126,9621,9621,9774,11928,14415,15815,17519,17919,11408,14639,15919,17775,18223,node2
127,9765,9765,9853,11160,14423,15367,17199,17535,10880,14919,15711,18111,18703,node2
128,9669,9669,9315,11344,14503,15751,17503,17919,11120,14767,16103,17311,17743,node2
129,9738,9738,9549,11320,14431,15295,17071,17951,11048,14647,15607,17503,17855,node2
130,9996,9996,10098,11344,14551,15359,17519,17935,11664,14719,15831,16799,18223,node2
131,9818,9818,9824,11752,14159,15727,17039,17423,11456,14647,15999,17167,17391,node2
132,9694,9694,9527,11360,13831,15167,16607,17023,11792,13791,15367,16735,17391,node2
133,8797,8797,9262,11440,14423,15647,16863,17471,11256,14695,16055,17455,17871,node2
134,10000,10000,9798,11816,14255,15111,16895,17279,11512,14519,15407,16575,18079,node2
135,9533,9533,9250,11496,14367,15471,16831,17263,11504,14495,15743,16895,17423,node2
136,9498,9498,9686,11616,14519,15615,16767,16975,11360,14951,15855,17439,17839,node2
137,9467,9467,9684,11944,14415,15335,17359,17423,11896,14663,15879,17343,18095,node2
138,9329,9329,9039,11992,14551,15711,16991,17423,11808,14799,15527,16943,17423,node2
139,9703,9703,9743,11976,14943,15727,17039,17455,11688,15239,16119,17391,17807,node2
