TimeElapsed (s),MessageSentCount,MessageSentThroughput (KB/s),MessageReceivedCount,PublishLatencyMinValue (ms),PublishLatencyValueAtPercentile50 (ms),PublishLatencyValueAtPercentile75 (ms),PublishLatencyValueAtPercentile95 (ms),PublishLatencyValueAtPercentile99 (ms),EndToEndLatencyMinValue (ms),EndToEndLatencyValueAtPercentile50 (ms),EndToEndLatencyValueAtPercentile75 (ms),EndToEndLatencyValueAtPercentile95 (ms),EndToEndLatencyValueAtPercentile99 (ms),masternode
1,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,6202,6202,7275,34,524,580,706,813,455,937,1218,1386,1425,
3,9471,9471,10269,753,1220,1406,1590,1699,1441,1983,2203,2421,2459,
4,9517,9517,9765,1633,2225,2591,2797,2875,2468,3085,3413,3677,3733,
5,8400,8400,9746,2852,3349,3667,3793,3823,2878,4031,4315,4707,4783,
6,9912,9912,9028,3794,4191,4503,4555,4607,3806,4319,4631,5475,5591,
7,9294,9294,9880,4584,5059,5295,5379,5407,4648,5135,5423,6083,6479,node2
8,9675,9675,9085,5472,5939,6163,6411,6495,5500,6019,6311,6963,7363,node2
9,9196,9196,9647,6388,6943,7087,7355,7491,6484,7015,7263,7463,7519,node2
10,10304,10304,10126,7344,7915,8215,8375,8439,7520,8099,8343,8543,8583,node2
11,9590,9590,9482,8320,8799,9031,9247,9255,8592,9079,9311,9463,9471,node2
12,9565,9565,8217,9016,9775,10023,10351,10439,9480,10151,10391,10591,10655,node2
13,8631,8631,9895,9712,10863,11135,11319,11335,9816,11103,11415,11679,11719,node2
14,9417,9417,9552,9976,11591,11943,12199,12639,10176,11863,12223,12623,12759,node2
15,8991,8991,9455,10328,12295,12471,13071,13119,10800,12527,13095,13383,13495,node2
16,8419,8419,8945,10544,12751,13287,13727,13935,10328,12975,13719,14327,14407,node2
17,10210,10210,9051,9912,12727,14087,14591,14663,9680,13199,14615,15295,15607,node2
18,9803,9803,9576,9696,12959,15047,15527,15599,9736,13207,15087,16151,16207,node2
19,9002,9002,9103,9184,12615,14807,16127,16575,9320,12863,14799,16719,17279,node2
20,9111,9111,9543,9152,13439,15455,16671,17487,9688,13407,15639,17151,17695,node2
21,9948,9948,9446,9328,13511,15815,17071,17135,9336,13799,15959,17215,17631,node2
22,8720,8720,9075,9848,13311,16095,17583,17967,9912,13527,16327,17999,18415,node2
23,9071,9071,9394,10056,13495,15303,16687,16719,10144,13535,15095,17295,17535,node2
24,9824,9824,9548,10232,13175,16271,17151,17599,10112,13407,16143,17231,17871,node2
25,9786,9786,9250,9848,13279,16399,17647,18111,9584,13863,16783,18223,18623,node2
26,9359,9359,9372,9592,12959,16415,17711,18559,9576,13031,16135,17455,17503,node2
27,8878,8878,9450,9664,12919,16447,17679,18095,9752,13023,16799,17359,18095,node2
28,8496,8496,8835,10096,12919,16495,18047,18495,10272,13271,16311,17855,18447,node2
29,10838,10838,9800,10720,13111,14975,17615,18015,10656,13239,15999,18095,18527,node2
30,8495,8495,9520,11024,13615,16007,18447,18463,10792,13983,16319,17135,18783,node2
31,8845,8845,9076,10976,13087,15991,17711,18175,10728,13519,15999,17599,18079,node2
32,9020,9020,8614,11216,13175,15975,17343,17791,10568,13735,15887,18111,18479,node2
33,9582,9582,9649,10680,13023,15983,18255,18255,10528,13407,16247,18191,18367,node2
34,9787,9787,9125,10424,13095,16015,17983,18463,10368,13671,15415,17247,18751,node2
35,8361,8361,9231,10592,13223,15991,18063,18079,10648,13639,16199,17999,18287,node2
36,8859,8859,9197,10408,14399,16119,17439,18591,10512,13927,16151,17327,17679,node2
37,10365,10365,9409,10816,13463,15583,17839,18319,10736,14719,16023,17551,18175,node2
38,9267,9267,9373,10920,14175,15967,17759,18175,10704,13791,16327,17983,18415,node2
39,8579,8579,9259,10872,13751,15951,17247,17663,10536,14287,15679,17679,18255,node2
40,10175,10175,9626,10664,13327,15471,17263,17695,10800,13599,15615,17519,17791,node2
41,9860,9860,9180,11048,13655,15847,17727,18159,10496,13679,15911,17471,17999,node2
42,8513,8513,9411,10672,13567,15831,17135,17535,10760,14351,15871,17887,17935,node2
43,10500,10500,9957,10792,12655,15199,17135,17631,10640,13391,15511,16783,17311,node2
44,10146,10146,9319,10592,14135,15791,17551,18031,10616,13447,15743,17551,17631,node2
45,8118,8118,9818,10856,13599,15927,17615,18047,10888,14047,15959,17855,17999,node2
46,9414,9414,8769,10592,13727,15799,17631,18047,11080,14367,16175,18271,18703,node2
47,9883,9883,9055,10856,12991,15295,17199,18463,10976,13359,15255,18159,18175,node2
48,9527,9527,10368,10816,14375,15895,17679,17743,10936,14143,16031,17103,17839,node2
49,9708,9708,9428,11000,12719,15191,17183,17647,10792,14071,15607,17679,18191,node2
50,9670,9670,9047,10048,13079,14799,17167,18175,10224,13575,15559,17711,18175,node2
51,8798,8798,8825,9656,13079,16311,17823,18223,9936,13295,15495,18559,18687,node2
52,9824,9824,9814,9792,12711,15351,18255,18703,9488,13239,15919,17503,19199,node2
53,8710,8710,9489,9424,13183,15719,17199,17663,9536,13447,15871,17967,18431,node2
54,8984,8984,9282,9576,12863,15431,18063,18527,9512,13575,15759,17327,18847,node2
55,9675,9675,9650,8808,12839,15799,17311,17759,8528,13023,15671,17839,18399,node2
56,9368,9368,9282,8544,12631,15895,17519,18303,8712,13111,15911,17919,18495,node2
57,9602,9602,9636,8328,13191,16511,17983,18495,8376,13415,16767,17423,18879,node2
58,9618,9618,9769,8216,13079,16191,17743,18159,8424,13359,16159,17919,18463,node2
59,10205,10205,9464,8528,13167,16367,17759,18623,8488,13591,16343,17759,18207,node2
60,9711,9711,9972,8496,13223,16031,18223,18703,8384,13775,16415,18287,18831,node2
61,9697,9697,9412,8488,13823,16623,17903,17935,8352,14263,16687,18063,18255,node2
62,9470,9470,9370,8504,13119,16223,18367,18863,8320,13423,16783,18079,18543,node2
63,8526,8526,9379,8256,13719,16799,18495,18927,8616,15391,17327,18575,19071,node2
64,8664,8664,8799,8928,15391,16767,18511,18527,9016,15967,17279,18959,19391,node2
65,8375,8375,8474,9288,13055,16879,18991,18991,9584,13655,16815,17871,19567,node2
66,9020,9020,8895,9608,15079,16911,18463,18591,9432,15391,17215,18431,18799,node2
67,10427,10427,10095,10200,13263,16103,19007,19455,10488,13543,16447,17551,19103,node2
68,9740,9740,8908,10512,12767,16399,17983,18399,10624,13191,16479,18079,18463,node2
69,8192,8192,9942,10832,15447,16863,18831,18863,10576,13639,16767,17935,18607,node2
70,9361,9361,8679,10992,13135,16383,18239,19023,11216,14359,16623,18655,19199,node2
71,10119,10119,9752,11080,13239,16447,18111,18543,10904,13751,16431,17743,19487,node2
72,9161,9161,9136,10848,13535,16159,18191,18975,11232,14567,16543,18207,18687,node2
73,9044,9044,8406,11344,13063,14383,18783,18815,11464,13127,15223,18111,18287,node2
74,8647,8647,9045,11416,13575,15447,18319,18351,11360,13679,16351,18639,19183,node2
75,8453,8453,8643,10480,13583,16367,18879,19455,11112,13495,16575,18303,19727,node2
76,8819,8819,9218,10224,13639,16975,18767,19231,10048,13847,16639,18735,19215,node2
77,10423,10423,9908,9832,13351,16479,18447,18879,10000,13767,16543,19167,19631,node2
78,9725,9725,9383,9608,13007,15975,19327,19343,9408,13327,15711,18111,19679,node2
79,9525,9525,9136,8848,13463,16463,18447,18975,9248,13463,16231,18335,18671,node2
80,9650,9650,9787,8336,13399,16447,18559,19055,8248,14367,17023,18847,19295,node2
81,7886,7886,9825,8464,14767,16799,18543,18575,8616,14295,16943,18031,18623,node2
82,8933,8933,8034,9088,14135,16671,18975,19407,9248,14807,16527,18495,19039,node2
83,9095,9095,9210,9192,14343,16703,18063,18495,9416,14647,16943,19199,19519,node2
84,9501,9501,9625,9472,13863,16671,17999,18927,9736,14423,17071,18175,18335,node2
85,9955,9955,9449,9784,13823,16639,18495,18959,9912,14303,17151,18383,18735,node2
86,9397,9397,9438,9448,14151,17103,18607,19039,9480,14367,17039,18703,19375,node2
87,9181,9181,9534,9728,14175,17199,18031,18143,9800,14767,16975,18351,18527,node2
88,9402,9402,8787,10016,13775,16815,18591,19039,9976,14079,16895,18639,19135,node2
89,9416,9416,9934,9960,14511,17359,18607,19023,9960,15287,17711,18815,19279,node2
90,10006,10006,9833,10632,14783,16783,18559,18975,10696,14751,16911,19087,19839,node2
91,9141,9141,9331,10816,13407,16543,18191,19407,10984,13455,16687,18383,18831,node2
92,9450,9450,9189,11024,13111,15607,18655,18655,11104,13503,16151,17423,18879,node2
93,9196,9196,9880,10864,14159,16431,17535,17935,10848,13743,16239,17791,18047,node2
94,9908,9908,9354,11056,14023,16415,17375,17407,11000,14127,16239,17103,17551,node2
95,8442,8442,9512,11128,13583,15351,16895,17839,10920,14079,15871,17039,17695,node2
96,8798,8798,7562,10792,13959,15719,17839,17871,11248,14495,15847,17535,18111,node2
97,9490,9490,9830,11240,14415,15799,17551,17983,11160,13927,16247,17903,18703,node2
98,8463,8463,9034,11744,13983,15727,17263,17279,11520,14319,16183,17279,17455,node2
99,9031,9031,8668,11200,14351,15759,17727,18191,11416,14207,16079,17247,17791,node2
100,8654,8654,8971,11384,14943,16015,17231,17295,11552,14375,15943,17711,18159,node2
101,9942,9942,9318,11440,14463,15383,16831,17663,11264,14591,15919,17039,17455,node2
102,8209,8209,8629,11472,14295,15847,16895,17711,11760,15055,15879,17375,17535,node2
103,8569,8569,8432,11920,14983,15863,17215,17679,11640,14103,16255,16975,17903,node2
104,9107,9107,9207,11496,14583,15495,16799,17183,11656,14855,15711,17071,17407,node2
105,9313,9313,8676,11512,14303,15975,16975,17727,11664,14319,15807,17023,17439,node2
106,9066,9066,9300,11656,14383,16279,17295,17823,11616,14399,16415,17535,17871,node2
107,8617,8617,9173,11656,14623,16279,17199,17199,11840,14831,16767,17311,17455,node2
108,10342,10342,9348,11296,14239,16231,17663,17711,11104,14671,16335,17215,17599,node2
109,9686,9686,9566,11144,14111,16815,17791,18191,11232,14367,16495,17679,18143,node2
110,9420,9420,9627,11224,14303,16359,17551,17999,11368,14471,16639,17983,18447,node2
111,9628,9628,9414,10824,14311,16055,18047,18111,10504,14551,16207,18287,18719,node2
112,8746,8746,9569,10792,14823,16591,17631,18495,10848,15071,16575,18223,18959,node2
113,9677,9677,9356,10648,13831,16263,18015,18447,11152,14239,16359,17535,18079,node2
