TimeElapsed (s),MessageSentCount,MessageSentThroughput (KB/s),MessageReceivedCount,PublishLatencyMinValue (ms),PublishLatencyValueAtPercentile50 (ms),PublishLatencyValueAtPercentile75 (ms),PublishLatencyValueAtPercentile95 (ms),PublishLatencyValueAtPercentile99 (ms),EndToEndLatencyMinValue (ms),EndToEndLatencyValueAtPercentile50 (ms),EndToEndLatencyValueAtPercentile75 (ms),EndToEndLatencyValueAtPercentile95 (ms),EndToEndLatencyValueAtPercentile99 (ms)
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5537,5537,7211,10,237,334,439,472,407,786,943,1059,1095
3,12357,12357,11660,333,747,915,1063,1092,966,1495,1785,1973,2061
4,10936,10936,11356,1130,1516,1689,1871,1908,1108,1712,1982,2323,2567
5,12018,12018,11360,1869,2325,2533,2713,2773,2098,2625,2863,3039,3081
6,11748,11748,12118,2638,3097,3281,3517,3659,3100,3587,3847,4053,4085
7,11826,11826,12208,3454,3889,4155,4467,4511,3862,4555,4807,5015,5079
8,12380,12380,11831,3674,4607,5031,5395,5579,3822,5231,5635,5995,6087
9,11860,11860,12064,3642,5371,5931,6267,6403,3752,6167,6655,7051,7079
10,11604,11604,11543,3830,6215,6531,6903,6951,3924,6459,7039,7559,7751
11,11946,11946,12064,3794,6307,6699,7283,7343,3896,6243,7099,7755,7967
12,11966,11966,11502,3920,6327,6735,7443,7631,4020,6571,7183,7851,8043
13,12070,12070,12446,3928,6311,6887,7607,7655,3876,6343,7347,8079,8255
14,11732,11732,11741,3850,6331,6759,7651,7687,3948,6479,7275,8247,8447
15,12180,12180,11898,3912,6175,6715,7487,7687,3932,6495,7303,8359,8583
16,11560,11560,11962,3776,6343,6791,7539,7671,3982,6359,7347,7979,8151
17,12318,12318,11725,3862,6339,6747,7543,7667,4034,6499,7503,8175,8447
18,11385,11385,12069,3998,6359,6703,7443,7631,4096,6531,7291,8311,8599
19,12396,12396,11947,3984,4675,6695,7391,7587,3912,6439,7343,7939,8139
20,12223,12223,11949,3768,6291,6727,7451,7607,3642,6459,7247,8123,8375
21,11569,11569,11967,3752,6319,6651,7427,7579,3988,6603,7335,8107,8407
22,12009,12009,11780,3758,6175,6611,7387,7551,3910,6595,7187,7787,7999
23,10614,10614,11169,3968,5995,6775,7351,7591,3858,6255,7255,7911,8191
24,10359,10359,10430,4080,5967,6735,7491,7667,4148,6251,7539,8207,8575
25,12191,12191,11653,4096,5759,6759,7651,7703,4316,6035,7375,7935,8239
26,11427,11427,11535,4376,5627,6795,7551,7715,4676,6167,7243,8143,8407
