TimeElapsed (s),MessageSentCount,MessageSentThroughput (KB/s),MessageReceivedCount,PublishLatencyMinValue (ms),PublishLatencyValueAtPercentile50 (ms),PublishLatencyValueAtPercentile75 (ms),PublishLatencyValueAtPercentile95 (ms),PublishLatencyValueAtPercentile99 (ms),EndToEndLatencyMinValue (ms),EndToEndLatencyValueAtPercentile50 (ms),EndToEndLatencyValueAtPercentile75 (ms),EndToEndLatencyValueAtPercentile95 (ms),EndToEndLatencyValueAtPercentile99 (ms),masternode
1,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,5821,5821,6894,8,523,870,970,1005,797,1309,1584,1878,1944,node2
3,9218,9218,9516,1043,1484,1711,1884,1902,1238,2027,2297,2639,2787,node2
4,8588,8588,8973,1791,2347,2535,2681,2761,1929,2471,2683,2917,3013,node2
5,8614,8614,9000,2702,3279,3537,3755,3775,2934,3483,3735,3945,4031,node2
6,8981,8981,9068,3762,4251,4479,4635,4691,4036,4479,4759,4907,4939,node2
7,9227,9227,8793,4636,5167,5455,5631,5707,4952,5443,5723,5911,5935,node2
8,8733,8733,8481,5468,6111,6327,6631,6647,5932,6467,6703,6927,6963,node2
9,8012,8012,8997,6120,7039,7195,7467,7567,6964,7471,7671,7911,7947,node2
10,9437,9437,8926,7108,7891,8247,8519,8647,7960,8503,8743,8943,8983,node2
11,8806,8806,9181,8208,8855,9183,9327,9415,8880,9479,9743,9943,9975,node2
12,8743,8743,8842,8768,9791,10023,10335,10335,9088,10263,10519,10711,10751,node2
13,7991,7991,8988,9200,10575,10927,11207,11327,9256,11015,11487,11879,11967,node2
14,9419,9419,9142,9544,11535,11719,12079,12095,9808,12151,12535,12751,12831,node2
15,10328,10328,9782,9472,12375,12879,13279,13351,9960,12991,13447,13815,13855,node2
16,9543,9543,9774,9568,13199,13607,14175,14311,10160,13599,14079,14543,14671,node2
17,9767,9767,9547,9840,13895,14503,15103,15207,10496,14055,14919,15671,15943,node2
18,8730,8730,8535,9896,13735,14999,16151,16247,10528,14031,14535,16591,16751,node2
19,7850,7850,8289,10008,14351,14927,16847,16895,10632,14415,15431,17503,17615,node2
20,8587,8587,8539,10392,14135,15295,17647,17871,10888,14455,15359,18415,18623,node2
21,9329,9329,9460,10152,14471,16543,18319,18847,9936,14367,15415,18959,19231,node2
22,9514,9514,9066,10272,14199,15583,17823,18287,10120,14591,16735,18415,18943,node2
23,9789,9789,8706,9560,14295,17135,18271,18847,10112,14359,16863,17999,19391,node2
24,9145,9145,9160,9384,14287,16527,17711,19359,10040,14551,16703,18447,18543,node2
25,7386,7386,7868,9576,14959,17199,18351,18895,10344,14743,17039,19103,19663,node2
26,9003,9003,9188,9256,14479,16623,18271,19391,9336,14743,17119,18783,18847,node2
27,8976,8976,8732,9272,14655,17183,18831,19375,9608,14743,16783,18495,19391,node2
28,9382,9382,8993,9432,14079,16671,18303,18767,9744,13999,17103,18975,19503,node2
29,9271,9271,9437,9008,14239,16671,18735,18799,9704,14791,16719,19039,19471,node2
30,9721,9721,9436,8976,13863,16783,18063,19247,8848,14383,17183,18095,18495,node2
31,8387,8387,9070,8840,13959,17391,18255,18767,9136,15615,17007,18671,19071,node2
32,8918,8918,9097,8944,14911,17151,18207,18495,9096,14903,17535,18655,18799,node2
33,9261,9261,8864,9064,14383,17711,19087,19647,9064,15279,17775,19215,19311,node2
34,8926,8926,8890,9320,14655,17727,18751,19007,9960,14711,17871,19551,19903,node2
35,9638,9638,9233,8904,14071,17279,19519,19535,9208,14767,17631,19999,20431,node2
36,8603,8603,8595,8792,15487,17839,19103,20063,9368,15527,17919,19503,19647,node2
37,7897,7897,9537,8936,15223,17599,19663,20191,9320,15631,18031,20079,20175,node2
38,9558,9558,9099,8920,15727,17535,19167,19295,9552,15919,18031,19663,19759,node2
39,9257,9257,9057,9200,15319,17551,19759,20287,9720,15559,17503,19391,20239,node2
40,9440,9440,9042,8832,14727,17919,19151,19199,9648,14743,18047,19455,19887,node2
41,9483,9483,9048,8992,15231,17503,19711,20207,9648,15231,17711,19951,20399,node2
42,8868,8868,9152,9160,14583,17999,19679,20111,9944,15303,18143,20079,20575,node2
43,7921,7921,8715,8880,15127,17439,20111,20191,8808,15623,18239,20015,20143,node2
44,9086,9086,8901,9120,15711,17935,19583,19775,9048,15743,18047,20287,20783,node2
45,8914,8914,8963,8992,15767,17919,20095,20271,9008,15575,17967,20207,20399,node2
46,9452,9452,8697,8984,14903,17551,19695,20223,8984,14727,17599,20495,20879,node2
47,8751,8751,9234,9280,14911,17599,20191,20255,9136,15607,18191,19919,21135,node2
48,8476,8476,8921,8936,15383,18095,19727,20191,9080,15423,17919,20143,20767,node2
49,8988,8988,8860,8920,15407,17615,19695,20223,9016,15815,18063,20239,20303,node2
50,9426,9426,8772,9168,14943,18175,19839,20255,9288,15671,17807,20367,20847,node2
51,9007,9007,8684,8952,14295,18191,20351,20383,9248,14759,18079,20511,20591,node2
52,8057,8057,8408,8944,15391,18191,19967,20447,9496,15631,18479,20703,21119,node2
53,8753,8753,8797,8976,15591,18271,20527,21071,9528,15543,18063,20863,21279,node2
54,8923,8923,8920,9240,15535,17775,19935,19951,9744,15871,18511,20815,20943,node2
55,9310,9310,9130,9568,15535,18303,20447,20479,10000,14815,18287,19983,20543,node2
56,8337,8337,8312,9280,16199,18367,19983,20543,9904,15935,17791,20095,20671,node2
57,7941,7941,8671,9040,15671,18447,20111,20591,9944,16719,18399,20271,20847,node2
58,9301,9301,8782,9064,15735,17951,20175,20639,9136,16151,18271,20927,21423,node2
59,9072,9072,8895,9152,16231,18463,20687,20751,9136,15855,18303,20975,21343,node2
60,7960,7960,8378,9296,16311,18095,20383,20799,9400,15927,18447,20575,20879,node2
61,9372,9372,10109,9688,15919,18303,20239,20431,9896,16687,18735,20383,20831,node2
62,9105,9105,8847,9928,16399,18175,19855,20543,10160,16247,18383,20159,21087,node2
63,9232,9232,9400,10048,15655,17359,19743,20175,10032,15655,17535,20239,20767,node2
