TimeElapsed (s),MessageSentCount,MessageSentThroughput (KB/s),MessageReceivedCount,PublishLatencyMinValue (ms),PublishLatencyValueAtPercentile50 (ms),PublishLatencyValueAtPercentile75 (ms),PublishLatencyValueAtPercentile95 (ms),PublishLatencyValueAtPercentile99 (ms),EndToEndLatencyMinValue (ms),EndToEndLatencyValueAtPercentile50 (ms),EndToEndLatencyValueAtPercentile75 (ms),EndToEndLatencyValueAtPercentile95 (ms),EndToEndLatencyValueAtPercentile99 (ms),masternode
2048,10225,10225,10601,11688,15463,16719,17871,18271,11912,15751,16879,17743,18671,node1
2049,10189,10189,10134,11688,15471,16687,17919,17951,12104,15975,16943,18159,18543,node1
2050,10910,10910,10263,12440,15823,16175,17487,17503,12472,15423,17327,18367,18383,node1
2051,9431,9431,10359,11672,15447,16703,18287,18351,11760,15839,16751,18543,18783,node1
2052,10456,10456,10036,11728,15879,16767,17903,18447,12264,15975,17151,17887,18143,node1
2053,10737,10737,10492,12160,15519,16719,17583,17599,12464,16399,17311,17375,17407,node1
2054,9701,9701,10204,12080,15519,16815,17599,17967,12080,15807,17135,18015,18415,node1
2055,10656,10656,10085,12120,15479,16783,17967,17999,12008,15655,16815,17855,18031,node1
2056,10491,10491,10618,12072,15063,17151,17535,17535,12320,16279,17199,18255,18271,node1
2057,10016,10016,10031,11712,15815,17119,17951,18335,11792,15959,17103,18255,18655,node1
2058,9941,9941,9878,12088,15463,17151,17983,18383,11944,15775,17455,18559,18783,node1
2059,9627,9627,10385,11760,15487,16815,17967,17999,11760,15719,17615,18431,18831,node1
2060,10498,10498,9859,12152,16767,17583,18351,18367,13168,16279,17439,19231,19247,node1
2061,10364,10364,10522,11752,15447,17151,17999,18351,11808,15551,17663,18479,18863,node1
2062,9928,9928,10068,11736,15455,17199,17967,18063,12056,16183,17551,18735,18975,node1
2063,10596,10596,10064,11656,15447,17535,17983,18415,11840,15399,17375,17951,18335,node1
2064,9836,9836,10691,11688,13415,15831,18319,18335,12224,15239,17391,18351,18367,node1
2065,11159,11159,10168,11592,15447,17087,17887,18015,11896,15663,17439,18015,18559,node1
2066,9616,9616,10358,11632,15391,16847,17599,17951,11736,15543,17167,18399,18831,node1
2067,10169,10169,9572,11704,15487,17487,17983,18111,12040,15999,17263,18143,18559,node1
