TimeElapsed (s),MessageSentCount,MessageSentThroughput (KB/s),MessageReceivedCount,PublishLatencyMinValue (ms),PublishLatencyValueAtPercentile50 (ms),PublishLatencyValueAtPercentile75 (ms),PublishLatencyValueAtPercentile95 (ms),PublishLatencyValueAtPercentile99 (ms),EndToEndLatencyMinValue (ms),EndToEndLatencyValueAtPercentile50 (ms),EndToEndLatencyValueAtPercentile75 (ms),EndToEndLatencyValueAtPercentile95 (ms),EndToEndLatencyValueAtPercentile99 (ms),masternode
1,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,6332,6332,5194,239,602,738,1019,1036,612,1113,1180,1466,1535,node2
3,8382,8382,11401,1010,1502,1781,2043,2113,1563,2119,2403,2643,2673,node2
4,8184,8184,8238,1859,2607,3025,3165,3505,2410,3295,3741,4059,4135,node2
5,8669,8669,9302,3150,3547,3591,3935,3981,3144,4231,4447,4591,4615,node2
6,8659,8659,9070,3530,4259,4511,4863,4923,3622,4731,5131,5607,5755,node2
7,9036,9036,8866,4692,5295,5559,5823,5879,4808,5535,5891,6571,6823,node2
8,8681,8681,8429,5732,6063,6311,6435,6435,5896,6175,6327,7007,7399,node2
9,8701,8701,7728,6132,6943,7303,7547,7647,6408,7235,7595,7947,8495,node2
10,8275,8275,8754,7508,8043,8367,8543,8623,7648,8295,8527,8703,8751,node2
11,7949,7949,8104,7656,8991,9335,9471,9623,7772,9183,9455,9679,9711,node2
12,7524,7524,8443,7964,9959,10223,10503,10543,8320,10127,10439,10679,10711,node2
13,8489,8489,8299,8440,10903,11143,11471,11543,8584,11143,11431,11663,11727,node2
14,9344,9344,9262,8392,11663,11775,12175,12199,8432,11935,12239,12383,12479,node2
15,8915,8915,9118,8592,12351,12903,13567,13823,8480,12775,13279,13911,14135,node2
16,8973,8973,8359,8952,13175,13879,14615,14687,8872,13095,14199,14887,15223,node2
17,9964,9964,10809,9088,13095,14207,15223,15287,8576,13407,14623,15663,15711,node2
18,8071,8071,7115,8832,13143,14615,15727,15783,8936,13231,15055,16143,16375,node2
19,8654,8654,9379,8872,13487,15063,16559,17023,9192,13223,14623,17023,17567,node2
20,9477,9477,9058,8744,12839,14023,17407,17903,9064,12943,14487,17791,18303,node2
21,8809,8809,9169,8944,12815,15071,18415,18927,8608,13327,15263,19087,19567,node2
22,9341,9341,9340,8672,13631,14703,19807,20271,8728,13247,15047,19983,20495,node2
23,8721,8721,7979,9128,12607,15103,19935,20063,9424,13039,14559,20511,20607,node2
24,8732,8732,8679,9264,12471,14119,19935,20431,9288,12663,14735,20703,21119,node2
25,7666,7666,8512,8904,12495,15167,20063,20527,8928,13071,16343,20623,21279,node2
26,8855,8855,9083,9296,12519,14551,20063,20479,9312,12967,14855,20127,20799,node2
27,8735,8735,8602,9112,12687,15519,20127,20575,9024,13111,16111,20191,20863,node2
28,8474,8474,7751,9072,12623,14671,20431,20495,8928,12791,14767,20575,20815,node2
29,8393,8393,8597,9344,13015,15559,20367,21039,9208,13263,16175,20591,20991,node2
30,8972,8972,9262,9400,12863,14927,20191,20639,9368,13071,14807,20799,21311,node2
31,9379,9379,9117,9136,12687,15079,20175,20607,8888,13007,14671,20767,21119,node2
32,9315,9315,9022,8424,12727,13983,19695,20767,8344,13063,14471,20719,21503,node2
33,8533,8533,8300,8704,13351,16223,20271,20303,8880,13463,17039,21119,21423,node2
34,8618,8618,8546,8616,13319,15335,20351,20799,8560,13199,15015,20511,20927,node2
35,8143,8143,8598,8584,12951,16431,20447,20943,8552,13447,17103,20831,21231,node2
36,9402,9402,9153,8232,13263,15391,20303,20351,8216,13159,15399,20527,21151,node2
37,8262,8262,8590,8232,13023,14351,20367,20415,8160,13287,17103,21199,21551,node2
38,9041,9041,9076,7940,13015,16055,20799,20863,8008,12855,15823,21071,21695,node2
39,8721,8721,8748,8060,13047,15583,20463,20527,8140,13335,15663,21151,21551,node2
40,8983,8983,9409,8184,13023,15039,20591,20943,8416,13463,15127,21231,21775,node2
41,9508,9508,9298,8336,12871,15559,20495,21023,8576,13047,15719,21071,21711,node2
42,8708,8708,9259,8136,13447,15943,21087,21119,8064,13415,16207,21151,21295,node2
43,9038,9038,8504,8288,13031,15559,20479,20975,8164,13431,15967,20623,21119,node2
44,8909,8909,8850,8312,13023,14655,20623,20767,8512,13031,15967,21375,21919,node2
45,9414,9414,8593,8296,12975,15687,21311,21855,8240,13079,15287,21359,22543,node2
46,9141,9141,9095,8240,12871,15127,21247,21311,8172,13047,16879,21823,21919,node2
47,8995,8995,8524,7820,12927,15175,20799,21311,8240,12687,15415,21583,22143,node2
48,7405,7405,8689,8124,13047,16295,20959,21471,7956,13247,16223,21647,22335,node2
49,8715,8715,9185,8088,13527,15167,21471,21967,8280,13327,16199,21567,22095,node2
50,9390,9390,8726,8240,13055,16079,21327,21839,7984,13151,15559,21503,21983,node2
51,9004,9004,8790,8824,13431,15967,21023,21055,8984,13207,16071,21167,21455,node2
52,8646,8646,8633,8760,12903,15295,21423,21567,8576,13127,15799,21791,22287,node2
53,8637,8637,9179,9200,13007,15799,21343,21391,9024,13543,16639,21103,22239,node2
54,8506,8506,8693,9456,13031,15239,20687,21183,9624,13287,15463,20831,21055,node2
55,8881,8881,8925,9856,13559,18975,20911,21327,9704,13535,15751,20783,21519,node2
56,13358,13358,12327,10208,12383,12799,12855,12887,10808,12871,13015,19999,20031,node2
57,1954,1954,2221,10208,13295,16655,20479,20687,10288,13639,16095,21231,21391,node2
58,9820,9820,9287,9960,12847,14511,20015,21103,10080,13215,14831,20895,21871,node2
